WL;Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1472.360;-9.32;-62.78;-62.56;-62.13;-21.42
1472.370;-9.03;-63.07;-62.86;-62.42;-21.40
1472.380;-8.91;-63.19;-62.97;-62.54;-21.39
1472.390;-8.98;-63.12;-62.90;-62.46;-21.38
1472.400;-8.98;-63.11;-62.90;-62.46;-21.40
1472.410;-8.91;-63.18;-62.97;-62.53;-21.38
1472.420;-8.83;-63.27;-63.05;-62.62;-21.38
1472.430;-8.70;-63.39;-63.18;-62.74;-21.38
1472.440;-8.51;-63.59;-63.37;-62.94;-21.37
1472.450;-8.34;-63.75;-63.54;-63.10;-21.38
1472.460;-8.27;-63.82;-63.61;-63.17;-21.38
1472.470;-8.06;-64.03;-63.82;-63.38;-21.38
1472.480;-7.85;-64.24;-64.03;-63.59;-21.36
1472.490;-7.79;-64.30;-64.09;-63.65;-21.36
1472.500;-7.68;-64.42;-64.20;-63.77;-21.37
1472.510;-7.57;-64.52;-64.31;-63.87;-21.37
1472.520;-7.52;-64.57;-64.36;-63.92;-21.37
1472.530;-7.39;-64.70;-64.49;-64.05;-21.38
1472.540;-7.30;-64.79;-64.58;-64.14;-21.39
1472.550;-7.17;-64.92;-64.71;-64.27;-21.38
1472.560;-6.99;-65.10;-64.89;-64.45;-21.39
1472.570;-6.90;-65.19;-64.98;-64.55;-21.37
1472.580;-6.79;-65.30;-65.09;-64.66;-21.38
1472.590;-6.72;-65.38;-65.16;-64.73;-21.36
1472.600;-6.66;-65.43;-65.22;-64.79;-21.35
1472.610;-6.49;-65.60;-65.39;-64.96;-21.34
1472.620;-6.43;-65.66;-65.45;-65.01;-21.34
1472.630;-6.39;-65.70;-65.49;-65.06;-21.34
1472.640;-6.24;-65.85;-65.64;-65.21;-21.33
1472.650;-6.20;-65.90;-65.68;-65.25;-21.31
1472.660;-6.12;-65.97;-65.76;-65.33;-21.30
1472.670;-5.96;-66.13;-65.92;-65.48;-21.32
1472.680;-5.85;-66.24;-66.03;-65.60;-21.33
1472.690;-5.75;-66.34;-66.13;-65.69;-21.36
1472.700;-5.71;-66.38;-66.17;-65.74;-21.35
1472.710;-5.64;-66.46;-66.24;-65.81;-21.34
1472.720;-5.55;-66.54;-66.33;-65.89;-21.36
1472.730;-5.52;-66.58;-66.37;-65.93;-21.36
1472.740;-5.38;-66.71;-66.50;-66.07;-21.35
1472.750;-5.11;-66.98;-66.77;-66.34;-21.35
1472.760;-4.89;-67.21;-66.99;-66.56;-21.34
1472.770;-4.79;-67.30;-67.09;-66.66;-21.33
1472.780;-4.63;-67.47;-67.25;-66.82;-21.34
1472.790;-4.49;-67.61;-67.39;-66.96;-21.34
1472.800;-4.44;-67.65;-67.44;-67.01;-21.35
1472.810;-4.45;-67.65;-67.43;-67.00;-21.31
1472.820;-4.39;-67.71;-67.49;-67.06;-21.33
1472.830;-4.37;-67.72;-67.51;-67.08;-21.32
1472.840;-4.37;-67.73;-67.51;-67.08;-21.30
1472.850;-4.34;-67.75;-67.54;-67.11;-21.31
1472.860;-4.32;-67.77;-67.56;-67.13;-21.31
1472.870;-4.28;-67.81;-67.60;-67.17;-21.32
1472.880;-4.28;-67.81;-67.60;-67.17;-21.31
1472.890;-4.29;-67.80;-67.59;-67.16;-21.31
1472.900;-4.30;-67.80;-67.58;-67.15;-21.30
1472.910;-4.37;-67.72;-67.51;-67.08;-21.31
1472.920;-4.39;-67.71;-67.49;-67.07;-21.33
1472.930;-4.45;-67.65;-67.43;-67.01;-21.31
1472.940;-4.57;-67.52;-67.31;-66.88;-21.32
1472.950;-4.70;-67.39;-67.18;-66.75;-21.34
1472.960;-4.84;-67.25;-67.04;-66.61;-21.33
1472.970;-4.90;-67.19;-66.98;-66.55;-21.31
1472.980;-4.92;-67.17;-66.96;-66.53;-21.33
1472.990;-4.96;-67.13;-66.92;-66.49;-21.33
1473.000;-4.94;-67.15;-66.94;-66.51;-21.33
1473.010;-4.94;-67.15;-66.94;-66.51;-21.33
1473.020;-4.94;-67.15;-66.94;-66.51;-21.33
1473.030;-4.94;-67.16;-66.94;-66.52;-21.31
1473.040;-4.89;-67.20;-66.99;-66.57;-21.33
1473.050;-4.92;-67.17;-66.96;-66.53;-21.31
1473.060;-4.91;-67.18;-66.97;-66.55;-21.32
1473.070;-4.92;-67.17;-66.96;-66.53;-21.31
1473.080;-4.91;-67.18;-66.97;-66.54;-21.29
1473.090;-4.90;-67.20;-66.98;-66.56;-21.31
1473.100;-4.90;-67.19;-66.98;-66.55;-21.32
1473.110;-4.94;-67.15;-66.94;-66.51;-21.31
1473.120;-4.95;-67.15;-66.93;-66.51;-21.32
1473.130;-4.95;-67.15;-66.93;-66.51;-21.32
1473.140;-4.89;-67.20;-66.99;-66.56;-21.34
1473.150;-4.93;-67.16;-66.95;-66.52;-21.37
1473.160;-4.90;-67.20;-66.98;-66.56;-21.34
1473.170;-4.86;-67.24;-67.02;-66.59;-21.34
1473.180;-4.88;-67.21;-66.99;-66.57;-21.38
1473.190;-4.84;-67.25;-67.03;-66.61;-21.32
1473.200;-4.87;-67.22;-67.00;-66.58;-21.35
1473.210;-4.87;-67.22;-67.01;-66.58;-21.38
1473.220;-4.91;-67.19;-66.97;-66.55;-21.38
1473.230;-4.91;-67.18;-66.96;-66.54;-21.33
1473.240;-4.84;-67.25;-67.03;-66.61;-21.35
1473.250;-4.87;-67.23;-67.01;-66.58;-21.33
1473.260;-4.87;-67.22;-67.01;-66.58;-21.32
1473.270;-4.85;-67.25;-67.03;-66.60;-21.32
1473.280;-4.87;-67.22;-67.01;-66.58;-21.30
1473.290;-4.86;-67.23;-67.02;-66.59;-21.31
1473.300;-4.85;-67.25;-67.03;-66.60;-21.31
1473.310;-4.94;-67.16;-66.94;-66.51;-21.27
1473.320;-4.88;-67.21;-66.99;-66.57;-21.32
1473.330;-4.89;-67.21;-66.99;-66.56;-21.30
1473.340;-4.92;-67.18;-66.96;-66.53;-21.27
1473.350;-4.84;-67.25;-67.03;-66.61;-21.31
1473.360;-4.87;-67.22;-67.00;-66.58;-21.28
1473.370;-4.86;-67.24;-67.02;-66.59;-21.29
1473.380;-4.80;-67.29;-67.07;-66.65;-21.31
1473.390;-4.80;-67.29;-67.07;-66.65;-21.33
1473.400;-4.80;-67.29;-67.07;-66.65;-21.31
1473.410;-4.78;-67.31;-67.09;-66.67;-21.26
1473.420;-4.79;-67.30;-67.08;-66.66;-21.30
1473.430;-4.78;-67.31;-67.09;-66.67;-21.29
1473.440;-4.78;-67.31;-67.09;-66.66;-21.28
1473.450;-4.76;-67.33;-67.11;-66.69;-21.27
1473.460;-4.73;-67.37;-67.14;-66.72;-21.27
1473.470;-4.70;-67.39;-67.17;-66.74;-21.27
1473.480;-4.66;-67.44;-67.21;-66.79;-21.26
1473.490;-4.67;-67.43;-67.20;-66.78;-21.28
1473.500;-4.69;-67.40;-67.18;-66.75;-21.26
1473.510;-4.74;-67.36;-67.13;-66.71;-21.25
1473.520;-4.75;-67.34;-67.12;-66.69;-21.29
1473.530;-4.80;-67.29;-67.07;-66.65;-21.26
1473.540;-4.85;-67.24;-67.02;-66.59;-21.24
1473.550;-4.85;-67.24;-67.02;-66.59;-21.26
1473.560;-4.87;-67.22;-67.00;-66.57;-21.25
1473.570;-4.89;-67.20;-66.98;-66.55;-21.25
1473.580;-4.87;-67.22;-66.99;-66.57;-21.26
1473.590;-4.88;-67.21;-66.98;-66.56;-21.28
1473.600;-4.90;-67.20;-66.97;-66.55;-21.28
1473.610;-4.91;-67.18;-66.96;-66.53;-21.27
1473.620;-4.96;-67.14;-66.91;-66.49;-21.28
1473.630;-4.94;-67.15;-66.93;-66.50;-21.28
1473.640;-4.94;-67.15;-66.93;-66.50;-21.28
1473.650;-4.94;-67.15;-66.92;-66.50;-21.28
1473.660;-4.93;-67.17;-66.94;-66.52;-21.27
1473.670;-4.91;-67.19;-66.96;-66.53;-21.26
1473.680;-4.86;-67.23;-67.00;-66.58;-21.26
1473.690;-4.92;-67.17;-66.94;-66.52;-21.26
1473.700;-4.94;-67.16;-66.93;-66.50;-21.25
1473.710;-4.95;-67.14;-66.91;-66.49;-21.26
1473.720;-4.98;-67.12;-66.89;-66.46;-21.25
1473.730;-4.97;-67.12;-66.89;-66.47;-21.25
1473.740;-4.95;-67.15;-66.92;-66.49;-21.23
1473.750;-4.96;-67.14;-66.91;-66.48;-21.22
1473.760;-4.94;-67.16;-66.93;-66.50;-21.23
1473.770;-4.91;-67.18;-66.95;-66.53;-21.20
1473.780;-4.92;-67.17;-66.94;-66.52;-21.21
1473.790;-4.90;-67.19;-66.96;-66.54;-21.22
1473.800;-4.88;-67.21;-66.98;-66.56;-21.23
1473.810;-4.95;-67.14;-66.91;-66.49;-21.22
1473.820;-4.92;-67.17;-66.94;-66.52;-21.22
1473.830;-4.95;-67.14;-66.91;-66.49;-21.22
1473.840;-4.95;-67.14;-66.91;-66.49;-21.22
1473.850;-4.91;-67.18;-66.95;-66.53;-21.22
1473.860;-4.96;-67.14;-66.91;-66.48;-21.22
1473.870;-4.93;-67.16;-66.93;-66.51;-21.21
1473.880;-4.90;-67.20;-66.97;-66.54;-21.22
1473.890;-4.91;-67.19;-66.96;-66.53;-21.22
1473.900;-4.91;-67.19;-66.96;-66.53;-21.21
1473.910;-4.94;-67.16;-66.93;-66.50;-21.23
1473.920;-4.94;-67.15;-66.92;-66.50;-21.24
1473.930;-4.98;-67.11;-66.88;-66.46;-21.22
1473.940;-4.98;-67.12;-66.89;-66.46;-21.22
1473.950;-4.96;-67.14;-66.91;-66.48;-21.19
1473.960;-4.94;-67.15;-66.92;-66.50;-21.24
1473.970;-4.96;-67.13;-66.90;-66.48;-21.21
1473.980;-4.92;-67.18;-66.95;-66.52;-21.21
1473.990;-4.91;-67.19;-66.96;-66.53;-21.20
1474.000;-4.91;-67.18;-66.96;-66.53;-21.19
1474.010;-4.90;-67.19;-66.96;-66.54;-21.19
1474.020;-4.93;-67.16;-66.94;-66.51;-21.20
1474.030;-4.94;-67.15;-66.93;-66.50;-21.20
1474.040;-4.94;-67.15;-66.93;-66.50;-21.20
1474.050;-4.97;-67.13;-66.90;-66.47;-21.18
1474.060;-4.91;-67.19;-66.96;-66.53;-21.20
1474.070;-4.90;-67.19;-66.97;-66.54;-21.20
1474.080;-4.88;-67.22;-66.99;-66.56;-21.18
1474.090;-4.84;-67.26;-67.03;-66.60;-21.19
1474.100;-4.87;-67.22;-67.00;-66.57;-21.16
1474.110;-4.87;-67.22;-67.00;-66.57;-21.16
1474.120;-4.86;-67.24;-67.01;-66.58;-21.17
1474.130;-4.87;-67.22;-67.00;-66.57;-21.18
1474.140;-4.87;-67.22;-67.00;-66.57;-21.17
1474.150;-4.85;-67.25;-67.03;-66.59;-21.17
1474.160;-4.83;-67.26;-67.04;-66.61;-21.17
1474.170;-4.80;-67.29;-67.07;-66.64;-21.15
1474.180;-4.80;-67.29;-67.07;-66.64;-21.15
1474.190;-4.77;-67.32;-67.10;-66.67;-21.16
1474.200;-4.75;-67.35;-67.13;-66.69;-21.16
1474.210;-4.75;-67.34;-67.12;-66.69;-21.15
1474.220;-4.75;-67.34;-67.12;-66.69;-21.14
1474.230;-4.78;-67.31;-67.09;-66.66;-21.15
1474.240;-4.78;-67.31;-67.09;-66.66;-21.14
1474.250;-4.77;-67.32;-67.10;-66.67;-21.13
1474.260;-4.81;-67.28;-67.06;-66.63;-21.13
1474.270;-4.81;-67.29;-67.07;-66.63;-21.15
1474.280;-4.83;-67.27;-67.05;-66.61;-21.14
1474.290;-4.85;-67.24;-67.02;-66.59;-21.14
1474.300;-4.84;-67.26;-67.04;-66.60;-21.15
1474.310;-4.88;-67.21;-66.99;-66.56;-21.16
1474.320;-4.88;-67.21;-66.99;-66.56;-21.14
1474.330;-4.92;-67.17;-66.96;-66.52;-21.14
1474.340;-4.91;-67.19;-66.97;-66.53;-21.14
1474.350;-4.91;-67.19;-66.97;-66.53;-21.13
1474.360;-4.93;-67.16;-66.94;-66.51;-21.15
1474.370;-4.94;-67.15;-66.94;-66.50;-21.12
1474.380;-4.94;-67.15;-66.94;-66.50;-21.12
1474.390;-4.92;-67.18;-66.96;-66.52;-21.13
1474.400;-4.91;-67.19;-66.97;-66.53;-21.16
1474.410;-4.91;-67.18;-66.96;-66.53;-21.13
1474.420;-4.96;-67.13;-66.92;-66.48;-21.13
1474.430;-4.95;-67.15;-66.93;-66.49;-21.14
1474.440;-4.99;-67.10;-66.89;-66.45;-21.13
1474.450;-4.96;-67.13;-66.92;-66.48;-21.13
1474.460;-4.95;-67.15;-66.93;-66.49;-21.14
1474.470;-4.94;-67.15;-66.94;-66.50;-21.10
1474.480;-4.94;-67.15;-66.94;-66.50;-21.14
1474.490;-4.96;-67.13;-66.92;-66.48;-21.11
1474.500;-4.91;-67.18;-66.97;-66.53;-21.12
1474.510;-4.95;-67.14;-66.93;-66.49;-21.09
1474.520;-4.97;-67.13;-66.91;-66.47;-21.10
1474.530;-4.97;-67.12;-66.91;-66.47;-21.12
1474.540;-4.99;-67.10;-66.89;-66.45;-21.09
1474.550;-4.97;-67.12;-66.91;-66.47;-21.12
1474.560;-4.97;-67.12;-66.91;-66.47;-21.10
1474.570;-4.96;-67.13;-66.92;-66.48;-21.10
1474.580;-4.95;-67.14;-66.92;-66.48;-21.15
1474.590;-4.92;-67.17;-66.96;-66.52;-21.14
1474.600;-4.96;-67.13;-66.91;-66.47;-21.12
1474.610;-4.93;-67.17;-66.95;-66.51;-21.12
1474.620;-4.95;-67.14;-66.93;-66.49;-21.14
