WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1470.910;-6.64;-65.44;-65.24;-64.81;-38.77
1470.920;-6.81;-65.27;-65.07;-64.64;-38.80
1470.930;-7.20;-64.89;-64.68;-64.26;-38.74
1470.940;-7.17;-64.92;-64.71;-64.29;-38.71
1470.950;-7.36;-64.73;-64.52;-64.10;-38.77
1470.960;-7.86;-64.22;-64.02;-63.59;-38.65
1470.970;-8.03;-64.05;-63.85;-63.42;-38.70
1470.980;-8.62;-63.47;-63.26;-62.84;-38.61
1470.990;-9.07;-63.01;-62.81;-62.38;-38.60
1471.000;-9.40;-62.68;-62.48;-62.05;-38.81
1471.010;-9.74;-62.35;-62.15;-61.72;-38.66
1471.020;-9.83;-62.26;-62.05;-61.62;-38.61
1471.030;-10.14;-61.95;-61.75;-61.32;-38.63
1471.040;-10.50;-61.58;-61.38;-60.95;-38.54
1471.050;-10.64;-61.45;-61.24;-60.81;-38.45
1471.060;-10.84;-61.25;-61.05;-60.62;-38.40
1471.070;-10.83;-61.25;-61.05;-60.62;-38.42
1471.080;-11.33;-60.76;-60.55;-60.12;-38.39
1471.090;-11.73;-60.36;-60.16;-59.72;-38.29
1471.100;-11.90;-60.19;-59.99;-59.55;-38.32
1471.110;-12.41;-59.67;-59.47;-59.04;-38.23
1471.120;-12.40;-59.69;-59.48;-59.05;-38.33
1471.130;-11.88;-60.21;-60.00;-59.57;-38.45
1471.140;-11.63;-60.46;-60.26;-59.82;-38.36
1471.150;-11.58;-60.51;-60.31;-59.87;-38.36
1471.160;-11.52;-60.57;-60.37;-59.93;-38.38
1471.170;-11.36;-60.73;-60.53;-60.09;-38.18
1471.180;-11.23;-60.86;-60.65;-60.22;-38.19
1471.190;-11.24;-60.85;-60.64;-60.21;-38.27
1471.200;-11.09;-61.00;-60.80;-60.36;-38.25
1471.210;-10.82;-61.27;-61.07;-60.63;-38.28
1471.220;-10.73;-61.35;-61.15;-60.71;-38.27
1471.230;-10.42;-61.66;-61.46;-61.02;-38.28
1471.240;-10.15;-61.94;-61.73;-61.30;-38.26
1471.250;-9.87;-62.22;-62.01;-61.58;-38.29
1471.260;-9.49;-62.60;-62.39;-61.96;-38.24
1471.270;-9.27;-62.82;-62.62;-62.18;-38.23
1471.280;-9.08;-63.01;-62.81;-62.37;-38.21
1471.290;-8.93;-63.16;-62.96;-62.52;-38.28
1471.300;-8.84;-63.25;-63.05;-62.61;-38.05
1471.310;-8.63;-63.46;-63.26;-62.82;-38.11
1471.320;-8.43;-63.66;-63.45;-63.02;-38.20
1471.330;-8.26;-63.83;-63.63;-63.19;-38.21
1471.340;-7.97;-64.12;-63.91;-63.47;-38.11
1471.350;-7.78;-64.31;-64.10;-63.66;-38.10
1471.360;-7.56;-64.53;-64.33;-63.89;-38.08
1471.370;-7.28;-64.81;-64.61;-64.17;-38.16
1471.380;-7.12;-64.97;-64.77;-64.33;-38.13
1471.390;-6.96;-65.13;-64.93;-64.49;-38.18
1471.400;-6.80;-65.29;-65.09;-64.65;-38.23
1471.410;-6.70;-65.39;-65.19;-64.75;-38.14
1471.420;-6.56;-65.53;-65.32;-64.88;-38.12
1471.430;-6.39;-65.70;-65.50;-65.05;-38.12
1471.440;-6.22;-65.87;-65.67;-65.23;-38.14
1471.450;-6.01;-66.08;-65.87;-65.43;-38.12
1471.460;-5.84;-66.25;-66.04;-65.60;-38.07
1471.470;-5.70;-66.39;-66.19;-65.75;-38.14
1471.480;-5.60;-66.49;-66.28;-65.84;-38.07
1471.490;-5.50;-66.59;-66.38;-65.94;-38.05
1471.500;-5.38;-66.71;-66.50;-66.06;-38.13
1471.510;-5.30;-66.79;-66.59;-66.15;-38.10
1471.520;-5.32;-66.77;-66.57;-66.12;-38.12
1471.530;-5.23;-66.86;-66.65;-66.21;-38.19
1471.540;-5.13;-66.96;-66.76;-66.31;-38.14
1471.550;-5.08;-67.01;-66.81;-66.36;-38.16
1471.560;-5.03;-67.06;-66.85;-66.41;-38.22
1471.570;-4.95;-67.14;-66.94;-66.49;-38.31
1471.580;-4.54;-67.55;-67.35;-66.90;-38.34
1471.590;-4.32;-67.77;-67.57;-67.12;-38.29
1471.600;-4.24;-67.85;-67.65;-67.20;-38.35
1471.610;-4.04;-68.05;-67.85;-67.40;-38.38
1471.620;-3.97;-68.12;-67.92;-67.47;-38.34
1471.630;-3.91;-68.18;-67.98;-67.53;-38.37
1471.640;-3.86;-68.23;-68.03;-67.58;-38.27
1471.650;-3.85;-68.24;-68.04;-67.59;-38.29
1471.660;-3.83;-68.27;-68.06;-67.62;-38.24
1471.670;-3.87;-68.23;-68.02;-67.57;-38.38
1471.680;-3.89;-68.20;-68.00;-67.55;-38.33
1471.690;-3.92;-68.17;-67.97;-67.52;-38.38
1471.700;-4.05;-68.05;-67.84;-67.40;-38.38
1471.710;-4.07;-68.02;-67.82;-67.37;-38.35
1471.720;-4.13;-67.96;-67.75;-67.31;-38.35
1471.730;-4.22;-67.87;-67.67;-67.22;-38.37
1471.740;-4.29;-67.81;-67.60;-67.16;-38.36
1471.750;-4.33;-67.76;-67.55;-67.11;-38.32
1471.760;-4.42;-67.67;-67.47;-67.02;-38.40
1471.770;-4.45;-67.65;-67.44;-66.99;-38.46
1471.780;-4.55;-67.55;-67.34;-66.89;-38.41
1471.790;-4.68;-67.41;-67.21;-66.76;-38.39
1471.800;-4.76;-67.33;-67.12;-66.68;-38.40
1471.810;-4.94;-67.15;-66.95;-66.50;-38.46
1471.820;-5.02;-67.07;-66.87;-66.42;-38.40
1471.830;-5.16;-66.93;-66.73;-66.28;-38.44
1471.840;-7.08;-65.01;-64.81;-64.36;-38.49
1471.850;-8.91;-63.18;-62.97;-62.53;-38.45
1471.860;-8.92;-63.17;-62.96;-62.52;-38.54
1471.870;-8.80;-63.29;-63.09;-62.64;-38.44
1471.880;-8.82;-63.27;-63.06;-62.62;-38.41
1471.890;-8.95;-63.15;-62.94;-62.49;-38.40
1471.900;-9.10;-62.99;-62.79;-62.34;-38.37
1471.910;-9.27;-62.83;-62.62;-62.18;-38.42
1471.920;-9.33;-62.76;-62.55;-62.11;-38.35
1471.930;-9.13;-62.96;-62.75;-62.31;-38.51
1471.940;-9.14;-62.95;-62.74;-62.30;-38.54
1471.950;-8.88;-63.22;-63.01;-62.56;-38.55
1471.960;-8.79;-63.30;-63.10;-62.65;-38.53
1471.970;-8.61;-63.49;-63.28;-62.83;-38.47
1471.980;-8.37;-63.72;-63.51;-63.07;-38.40
1471.990;-8.23;-63.87;-63.66;-63.21;-38.44
1472.000;-8.08;-64.01;-63.80;-63.36;-38.48
1472.010;-7.77;-64.32;-64.11;-63.67;-38.47
1472.020;-7.72;-64.38;-64.17;-63.72;-38.41
1472.030;-7.62;-64.48;-64.27;-63.83;-38.48
1472.040;-7.42;-64.67;-64.46;-64.02;-38.33
1472.050;-7.32;-64.77;-64.56;-64.12;-38.45
1472.060;-7.09;-65.00;-64.79;-64.35;-38.45
1472.070;-6.83;-65.27;-65.06;-64.62;-38.44
1472.080;-6.69;-65.40;-65.19;-64.75;-38.35
1472.090;-6.54;-65.55;-65.34;-64.90;-38.45
1472.100;-6.40;-65.69;-65.48;-65.04;-38.62
1472.110;-6.23;-65.86;-65.65;-65.21;-38.53
1472.120;-6.13;-65.96;-65.75;-65.31;-38.48
1472.130;-6.07;-66.02;-65.81;-65.37;-38.46
1472.140;-5.88;-66.21;-66.00;-65.56;-38.50
1472.150;-5.83;-66.26;-66.05;-65.61;-38.38
1472.160;-5.74;-66.36;-66.14;-65.70;-38.39
1472.170;-5.57;-66.52;-66.31;-65.87;-38.39
1472.180;-5.42;-66.67;-66.46;-66.02;-38.32
1472.190;-5.29;-66.80;-66.59;-66.15;-38.29
1472.200;-5.18;-66.91;-66.70;-66.26;-38.22
1472.210;-5.07;-67.02;-66.81;-66.37;-38.21
1472.220;-4.98;-67.11;-66.90;-66.46;-38.28
1472.230;-4.88;-67.21;-67.00;-66.56;-38.32
1472.240;-4.68;-67.41;-67.20;-66.76;-38.28
1472.250;-4.36;-67.73;-67.52;-67.08;-38.24
1472.260;-4.23;-67.86;-67.65;-67.21;-38.17
1472.270;-4.06;-68.03;-67.82;-67.38;-38.10
1472.280;-3.91;-68.18;-67.97;-67.53;-38.31
1472.290;-3.81;-68.29;-68.07;-67.64;-38.25
1472.300;-3.74;-68.35;-68.14;-67.70;-38.11
1472.310;-3.70;-68.39;-68.18;-67.74;-38.12
1472.320;-3.67;-68.43;-68.22;-67.78;-38.15
1472.330;-3.64;-68.45;-68.24;-67.80;-38.16
1472.340;-3.64;-68.46;-68.24;-67.80;-38.13
1472.350;-3.61;-68.49;-68.27;-67.83;-38.09
1472.360;-3.61;-68.48;-68.27;-67.83;-38.11
1472.370;-3.62;-68.47;-68.26;-67.82;-38.05
1472.380;-3.59;-68.50;-68.29;-67.85;-38.06
1472.390;-3.61;-68.48;-68.27;-67.83;-38.10
1472.400;-3.70;-68.40;-68.18;-67.75;-38.09
1472.410;-3.96;-68.14;-67.93;-67.49;-38.06
1472.420;-4.23;-67.86;-67.65;-67.21;-38.01
1472.430;-4.33;-67.76;-67.55;-67.11;-38.02
1472.440;-4.39;-67.71;-67.49;-67.06;-38.02
1472.450;-4.37;-67.72;-67.51;-67.07;-38.03
1472.460;-4.35;-67.74;-67.53;-67.09;-38.06
1472.470;-4.36;-67.73;-67.52;-67.08;-37.99
1472.480;-4.36;-67.73;-67.52;-67.09;-37.97
1472.490;-4.40;-67.70;-67.48;-67.05;-38.01
1472.500;-4.43;-67.67;-67.45;-67.02;-38.02
1472.510;-4.44;-67.65;-67.44;-67.00;-38.00
1472.520;-4.45;-67.64;-67.43;-66.99;-37.95
1472.530;-4.41;-67.68;-67.47;-67.03;-38.00
1472.540;-4.45;-67.64;-67.43;-66.99;-38.04
1472.550;-4.36;-67.73;-67.52;-67.09;-38.06
1472.560;-4.40;-67.70;-67.48;-67.05;-37.99
1472.570;-4.42;-67.67;-67.46;-67.03;-37.95
1472.580;-4.31;-67.78;-67.57;-67.14;-37.92
1472.590;-4.38;-67.71;-67.50;-67.06;-37.87
1472.600;-4.39;-67.70;-67.49;-67.06;-37.86
1472.610;-4.35;-67.74;-67.53;-67.09;-37.85
1472.620;-4.41;-67.68;-67.47;-67.04;-37.86
1472.630;-4.42;-67.67;-67.46;-67.03;-37.90
1472.640;-4.33;-67.76;-67.55;-67.11;-37.89
1472.650;-4.41;-67.68;-67.47;-67.04;-38.01
1472.660;-4.37;-67.72;-67.51;-67.07;-38.01
1472.670;-4.33;-67.76;-67.55;-67.12;-37.98
1472.680;-4.42;-67.68;-67.46;-67.03;-38.01
1472.690;-4.31;-67.78;-67.57;-67.14;-38.00
1472.700;-4.30;-67.79;-67.58;-67.15;-37.98
1472.710;-4.38;-67.71;-67.50;-67.07;-38.00
1472.720;-4.36;-67.73;-67.52;-67.09;-37.97
1472.730;-4.40;-67.69;-67.48;-67.05;-38.06
1472.740;-4.49;-67.61;-67.39;-66.96;-38.07
1472.750;-4.62;-67.48;-67.26;-66.83;-38.13
1472.760;-4.71;-67.38;-67.17;-66.74;-38.11
1472.770;-4.72;-67.38;-67.16;-66.73;-38.11
1472.780;-4.62;-67.47;-67.26;-66.83;-38.18
1472.790;-4.62;-67.47;-67.26;-66.83;-38.16
1472.800;-4.56;-67.53;-67.32;-66.89;-38.08
1472.810;-4.50;-67.59;-67.38;-66.95;-38.06
1472.820;-4.52;-67.57;-67.36;-66.93;-38.12
1472.830;-4.50;-67.59;-67.38;-66.95;-38.08
1472.840;-4.46;-67.64;-67.42;-66.99;-38.12
1472.850;-4.45;-67.64;-67.43;-67.00;-38.11
1472.860;-4.40;-67.69;-67.48;-67.05;-38.06
1472.870;-4.34;-67.75;-67.54;-67.11;-38.14
1472.880;-4.28;-67.81;-67.60;-67.17;-38.08
1472.890;-4.21;-67.88;-67.67;-67.24;-38.05
1472.900;-4.14;-67.95;-67.74;-67.31;-38.01
1472.910;-4.10;-67.99;-67.78;-67.35;-38.02
1472.920;-4.06;-68.04;-67.82;-67.39;-38.05
1472.930;-4.00;-68.10;-67.88;-67.46;-38.07
1472.940;-3.98;-68.12;-67.90;-67.48;-38.03
1472.950;-3.94;-68.15;-67.94;-67.51;-37.90
1472.960;-3.89;-68.21;-67.99;-67.57;-37.94
1472.970;-3.84;-68.25;-68.04;-67.61;-37.95
1472.980;-3.80;-68.29;-68.08;-67.65;-37.94
1472.990;-3.76;-68.34;-68.12;-67.70;-37.95
1473.000;-3.77;-68.32;-68.11;-67.68;-37.94
1473.010;-3.87;-68.22;-68.01;-67.59;-37.96
1473.020;-3.99;-68.11;-67.89;-67.47;-37.86
1473.030;-4.10;-67.99;-67.78;-67.35;-37.92
1473.040;-4.20;-67.90;-67.68;-67.26;-37.95
1473.050;-4.23;-67.87;-67.65;-67.23;-37.96
1473.060;-4.29;-67.80;-67.59;-67.16;-37.90
1473.070;-4.32;-67.77;-67.56;-67.13;-37.91
1473.080;-4.32;-67.77;-67.56;-67.13;-37.89
1473.090;-4.36;-67.73;-67.52;-67.09;-37.78
1473.100;-4.36;-67.74;-67.52;-67.10;-37.80
1473.110;-4.35;-67.75;-67.53;-67.11;-37.85
1473.120;-4.40;-67.69;-67.47;-67.05;-37.84
1473.130;-4.41;-67.69;-67.47;-67.05;-37.82
1473.140;-4.41;-67.69;-67.47;-67.05;-37.87
1473.150;-4.44;-67.66;-67.44;-67.02;-37.85
1473.160;-4.39;-67.70;-67.49;-67.06;-37.81
1473.170;-4.40;-67.70;-67.48;-67.06;-37.77
1473.180;-4.40;-67.69;-67.48;-67.05;-37.82
1473.190;-4.37;-67.73;-67.51;-67.08;-37.78
1473.200;-4.35;-67.74;-67.53;-67.10;-37.76
1473.210;-4.38;-67.72;-67.50;-67.07;-37.68
1473.220;-4.39;-67.71;-67.49;-67.06;-37.66
1473.230;-4.44;-67.66;-67.44;-67.01;-37.68
1473.240;-4.43;-67.66;-67.44;-67.02;-37.63
1473.250;-4.43;-67.67;-67.45;-67.03;-37.62
1473.260;-4.43;-67.66;-67.45;-67.02;-37.74
1473.270;-4.38;-67.72;-67.50;-67.07;-37.83
1473.280;-4.37;-67.72;-67.50;-67.08;-37.86
1473.290;-4.37;-67.72;-67.51;-67.08;-37.97
1473.300;-4.36;-67.73;-67.51;-67.09;-38.01
1473.310;-4.36;-67.73;-67.51;-67.09;-37.97
1473.320;-4.37;-67.72;-67.50;-67.08;-37.95
1473.330;-4.39;-67.70;-67.48;-67.06;-38.05
1473.340;-4.42;-67.67;-67.45;-67.02;-37.98
1473.350;-4.38;-67.71;-67.49;-67.07;-37.98
1473.360;-4.39;-67.70;-67.48;-67.05;-37.92
1473.370;-4.34;-67.76;-67.54;-67.11;-37.98
1473.380;-4.32;-67.77;-67.55;-67.13;-37.96
1473.390;-4.39;-67.71;-67.49;-67.06;-37.89
1473.400;-4.32;-67.77;-67.55;-67.13;-37.86
1473.410;-4.31;-67.79;-67.57;-67.14;-37.88
1473.420;-4.34;-67.75;-67.53;-67.11;-37.78
1473.430;-4.34;-67.75;-67.53;-67.11;-37.74
1473.440;-4.37;-67.72;-67.50;-67.08;-37.81
1473.450;-4.40;-67.70;-67.47;-67.05;-37.74
1473.460;-4.35;-67.74;-67.52;-67.09;-37.77
1473.470;-4.34;-67.75;-67.53;-67.10;-37.84
1473.480;-4.32;-67.77;-67.55;-67.13;-37.93
1473.490;-4.30;-67.79;-67.57;-67.15;-37.76
1473.500;-4.32;-67.78;-67.55;-67.13;-37.78
1473.510;-4.28;-67.81;-67.59;-67.16;-37.87
1473.520;-4.27;-67.83;-67.60;-67.18;-37.87
1473.530;-4.30;-67.80;-67.57;-67.15;-37.82
1473.540;-4.29;-67.81;-67.58;-67.16;-37.76
1473.550;-4.31;-67.78;-67.56;-67.13;-37.71
1473.560;-4.32;-67.78;-67.55;-67.13;-37.71
1473.570;-4.30;-67.80;-67.57;-67.15;-37.71
1473.580;-4.29;-67.81;-67.58;-67.16;-37.70
1473.590;-4.28;-67.81;-67.59;-67.16;-37.67
1473.600;-4.26;-67.83;-67.61;-67.19;-37.62
1473.610;-4.24;-67.86;-67.63;-67.21;-37.66
1473.620;-4.23;-67.87;-67.64;-67.22;-37.61
1473.630;-4.23;-67.87;-67.64;-67.22;-37.63
1473.640;-4.24;-67.85;-67.62;-67.20;-37.56
1473.650;-4.26;-67.84;-67.61;-67.19;-37.61
1473.660;-4.23;-67.87;-67.64;-67.21;-37.66
1473.670;-4.22;-67.87;-67.64;-67.22;-37.66
1473.680;-4.22;-67.88;-67.65;-67.22;-37.63
1473.690;-4.23;-67.87;-67.64;-67.22;-37.68
1473.700;-4.21;-67.89;-67.66;-67.24;-37.72
1473.710;-4.19;-67.90;-67.67;-67.25;-37.62
1473.720;-4.16;-67.93;-67.70;-67.28;-37.63
1473.730;-4.15;-67.94;-67.71;-67.29;-37.61
1473.740;-4.23;-67.87;-67.64;-67.22;-37.53
1473.750;-4.26;-67.84;-67.61;-67.18;-37.56
1473.760;-4.23;-67.86;-67.63;-67.21;-37.72
1473.770;-4.28;-67.82;-67.59;-67.16;-37.51
1473.780;-4.26;-67.83;-67.60;-67.18;-37.59
1473.790;-4.29;-67.80;-67.57;-67.15;-37.51
1473.800;-4.30;-67.79;-67.56;-67.14;-37.50
1473.810;-4.32;-67.77;-67.54;-67.12;-37.51
1473.820;-4.36;-67.74;-67.51;-67.08;-37.54
1473.830;-4.34;-67.76;-67.53;-67.10;-37.47
1473.840;-4.36;-67.73;-67.50;-67.08;-37.41
1473.850;-4.35;-67.74;-67.51;-67.09;-37.44
1473.860;-4.34;-67.75;-67.52;-67.10;-37.54
1473.870;-4.35;-67.75;-67.52;-67.09;-37.48
1473.880;-4.32;-67.77;-67.55;-67.12;-37.55
1473.890;-4.35;-67.74;-67.51;-67.09;-37.48
1473.900;-4.40;-67.69;-67.46;-67.04;-37.40
1473.910;-4.33;-67.76;-67.53;-67.11;-37.46
1473.920;-4.34;-67.75;-67.53;-67.10;-37.48
1473.930;-4.35;-67.75;-67.52;-67.09;-37.51
1473.940;-4.33;-67.77;-67.54;-67.11;-37.45
1473.950;-4.38;-67.71;-67.49;-67.06;-37.49
1473.960;-4.38;-67.71;-67.48;-67.06;-37.42
1473.970;-4.37;-67.72;-67.50;-67.07;-37.47
1473.980;-4.40;-67.69;-67.47;-67.04;-37.46
1473.990;-4.36;-67.73;-67.50;-67.08;-37.47
1474.000;-4.35;-67.74;-67.52;-67.09;-37.51
1474.010;-4.35;-67.74;-67.51;-67.09;-37.46
1474.020;-4.33;-67.76;-67.53;-67.11;-37.40
1474.030;-4.31;-67.78;-67.56;-67.13;-37.40
1474.040;-4.37;-67.72;-67.50;-67.07;-37.45
1474.050;-4.38;-67.71;-67.49;-67.06;-37.44
1474.060;-4.37;-67.72;-67.50;-67.07;-37.51
1474.070;-4.40;-67.69;-67.47;-67.04;-37.45
1474.080;-4.37;-67.72;-67.50;-67.07;-37.41
1474.090;-4.33;-67.76;-67.54;-67.11;-37.46
1474.100;-4.34;-67.75;-67.53;-67.10;-37.42
1474.110;-4.29;-67.80;-67.58;-67.15;-37.47
1474.120;-4.33;-67.77;-67.54;-67.11;-37.47
1474.130;-4.35;-67.74;-67.52;-67.09;-37.43
1474.140;-4.30;-67.79;-67.57;-67.14;-37.45
1474.150;-4.36;-67.73;-67.51;-67.08;-37.41
1474.160;-4.37;-67.72;-67.50;-67.07;-37.40
1474.170;-4.37;-67.72;-67.50;-67.07;-37.35
1474.180;-4.35;-67.74;-67.52;-67.09;-37.49
1474.190;-4.35;-67.74;-67.52;-67.09;-37.44
1474.200;-4.35;-67.75;-67.53;-67.09;-37.43
1474.210;-4.30;-67.79;-67.57;-67.14;-37.40
1474.220;-4.31;-67.78;-67.56;-67.13;-37.44
1474.230;-4.30;-67.80;-67.58;-67.14;-37.42
1474.240;-4.31;-67.78;-67.56;-67.13;-37.43
1474.250;-4.31;-67.78;-67.56;-67.13;-37.43
1474.260;-4.34;-67.76;-67.54;-67.10;-37.42
1474.270;-4.34;-67.75;-67.54;-67.10;-37.42
1474.280;-4.35;-67.75;-67.53;-67.09;-37.35
1474.290;-4.33;-67.76;-67.54;-67.11;-37.38
1474.300;-4.31;-67.78;-67.56;-67.13;-37.40
1474.310;-4.30;-67.80;-67.58;-67.14;-37.51
1474.320;-4.27;-67.83;-67.61;-67.17;-37.49
1474.330;-4.25;-67.85;-67.63;-67.19;-37.48
1474.340;-4.24;-67.85;-67.63;-67.20;-37.51
1474.350;-4.23;-67.86;-67.64;-67.21;-37.50
1474.360;-4.24;-67.85;-67.63;-67.20;-37.45
1474.370;-4.28;-67.81;-67.60;-67.16;-37.37
1474.380;-4.23;-67.86;-67.65;-67.21;-37.44
1474.390;-4.26;-67.83;-67.62;-67.18;-37.41
1474.400;-4.26;-67.83;-67.62;-67.18;-37.46
1474.410;-4.23;-67.86;-67.65;-67.21;-37.53
1474.420;-4.22;-67.88;-67.66;-67.22;-37.45
1474.430;-4.19;-67.90;-67.69;-67.25;-37.47
1474.440;-4.16;-67.93;-67.72;-67.28;-37.60
1474.450;-4.19;-67.90;-67.69;-67.25;-37.53
1474.460;-4.19;-67.90;-67.69;-67.25;-37.57
1474.470;-4.19;-67.90;-67.69;-67.25;-37.57
1474.480;-4.21;-67.89;-67.67;-67.23;-37.49
1474.490;-4.22;-67.87;-67.66;-67.22;-37.48
1474.500;-4.22;-67.87;-67.66;-67.22;-37.48
1474.510;-4.16;-67.93;-67.72;-67.28;-37.55
1474.520;-4.21;-67.89;-67.67;-67.23;-37.57
1474.530;-4.21;-67.89;-67.67;-67.23;-37.58
1474.540;-4.21;-67.88;-67.67;-67.23;-37.60
1474.550;-4.26;-67.83;-67.62;-67.18;-37.62
1474.560;-4.29;-67.80;-67.59;-67.15;-37.67
1474.570;-4.27;-67.82;-67.61;-67.17;-37.73
1474.580;-4.31;-67.78;-67.57;-67.13;-37.69
1474.590;-4.30;-67.79;-67.58;-67.14;-37.71
1474.600;-4.27;-67.82;-67.61;-67.17;-37.65
1474.610;-4.29;-67.80;-67.59;-67.15;-37.58
1474.620;-4.25;-67.84;-67.63;-67.19;-37.57
