WL[nm]; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL[dB]
1470.680;-7.84;-64.25;-64.04;-63.61;-55.04
1470.690;-7.53;-64.56;-64.35;-63.92;-55.35
1470.700;-7.29;-64.80;-64.59;-64.16;-55.22
1470.710;-7.03;-65.05;-64.85;-64.42;-55.23
1470.720;-6.93;-65.16;-64.95;-64.53;-55.23
1470.730;-6.75;-65.33;-65.13;-64.70;-55.38
1470.740;-6.59;-65.50;-65.29;-64.86;-55.35
1470.750;-6.53;-65.56;-65.35;-64.93;-55.25
1470.760;-6.41;-65.68;-65.47;-65.04;-55.43
1470.770;-6.25;-65.83;-65.63;-65.20;-55.46
1470.780;-6.21;-65.87;-65.67;-65.24;-55.37
1470.790;-6.02;-66.06;-65.86;-65.43;-55.52
1470.800;-5.91;-66.18;-65.97;-65.55;-55.38
1470.810;-5.76;-66.32;-66.12;-65.69;-55.40
1470.820;-5.66;-66.43;-66.22;-65.80;-55.56
1470.830;-5.65;-66.43;-66.23;-65.80;-55.42
1470.840;-5.62;-66.47;-66.26;-65.84;-55.39
1470.850;-5.54;-66.55;-66.34;-65.92;-55.64
1470.860;-5.54;-66.54;-66.34;-65.91;-55.52
1470.870;-5.47;-66.61;-66.41;-65.99;-55.52
1470.880;-5.48;-66.61;-66.40;-65.98;-55.36
1470.890;-5.55;-66.53;-66.33;-65.91;-55.25
1470.900;-5.43;-66.65;-66.45;-66.02;-55.27
1470.910;-5.48;-66.60;-66.40;-65.97;-55.21
1470.920;-5.49;-66.59;-66.39;-65.96;-55.20
1470.930;-5.43;-66.65;-66.45;-66.02;-55.29
1470.940;-5.49;-66.60;-66.40;-65.97;-55.21
1470.950;-5.55;-66.54;-66.34;-65.91;-55.16
1470.960;-5.79;-66.29;-66.09;-65.66;-55.05
1470.970;-5.84;-66.24;-66.04;-65.61;-55.16
1470.980;-6.06;-66.02;-65.82;-65.39;-55.18
1470.990;-6.40;-65.69;-65.48;-65.05;-55.18
1471.000;-6.45;-65.63;-65.43;-65.00;-55.24
1471.010;-6.69;-65.40;-65.20;-64.77;-55.17
1471.020;-6.82;-65.26;-65.06;-64.63;-55.16
1471.030;-6.99;-65.09;-64.89;-64.46;-55.02
1471.040;-7.35;-64.74;-64.53;-64.10;-54.91
1471.050;-7.76;-64.32;-64.12;-63.69;-54.85
1471.060;-8.18;-63.90;-63.70;-63.27;-54.66
1471.070;-8.91;-63.17;-62.97;-62.54;-54.57
1471.080;-9.27;-62.81;-62.61;-62.18;-54.57
1471.090;-9.41;-62.67;-62.47;-62.04;-54.67
1471.100;-9.65;-62.44;-62.24;-61.80;-54.67
1471.110;-9.88;-62.21;-62.00;-61.57;-54.71
1471.120;-9.97;-62.12;-61.91;-61.48;-55.01
1471.130;-9.93;-62.16;-61.96;-61.52;-54.92
1471.140;-10.17;-61.92;-61.71;-61.28;-54.68
1471.150;-10.65;-61.44;-61.24;-60.80;-54.44
1471.160;-10.98;-61.11;-60.90;-60.47;-54.39
1471.170;-11.32;-60.77;-60.56;-60.13;-54.22
1471.180;-11.35;-60.73;-60.53;-60.10;-54.35
1471.190;-11.88;-60.21;-60.01;-59.57;-53.92
1471.200;-11.56;-60.53;-60.33;-59.89;-54.32
1471.210;-11.27;-60.82;-60.61;-60.18;-54.63
1471.220;-11.28;-60.81;-60.61;-60.17;-54.38
1471.230;-10.96;-61.13;-60.92;-60.49;-54.59
1471.240;-10.75;-61.33;-61.13;-60.70;-54.64
1471.250;-10.72;-61.37;-61.17;-60.73;-54.42
1471.260;-10.38;-61.71;-61.50;-61.07;-54.51
1471.270;-10.24;-61.85;-61.64;-61.21;-54.26
1471.280;-10.12;-61.97;-61.77;-61.33;-54.12
1471.290;-9.90;-62.18;-61.98;-61.54;-54.12
1471.300;-9.71;-62.37;-62.17;-61.73;-54.06
1471.310;-9.56;-62.53;-62.32;-61.88;-53.93
1471.320;-9.26;-62.82;-62.62;-62.18;-53.86
1471.330;-9.01;-63.08;-62.87;-62.43;-53.76
1471.340;-8.78;-63.31;-63.11;-62.67;-53.68
1471.350;-8.55;-63.54;-63.34;-62.90;-53.67
1471.360;-8.41;-63.68;-63.47;-63.04;-53.55
1471.370;-8.15;-63.94;-63.74;-63.30;-53.50
1471.380;-8.00;-64.09;-63.88;-63.44;-53.50
1471.390;-7.82;-64.27;-64.07;-63.63;-53.38
1471.400;-7.56;-64.53;-64.32;-63.88;-53.29
1471.410;-7.37;-64.72;-64.51;-64.07;-53.15
1471.420;-7.16;-64.93;-64.73;-64.29;-53.20
1471.430;-6.90;-65.19;-64.99;-64.55;-53.23
1471.440;-6.67;-65.42;-65.21;-64.77;-53.28
1471.450;-6.47;-65.62;-65.41;-64.97;-53.19
1471.460;-6.33;-65.76;-65.56;-65.11;-53.23
1471.470;-6.25;-65.84;-65.64;-65.19;-53.09
1471.480;-6.09;-66.00;-65.79;-65.35;-53.14
1471.490;-5.95;-66.14;-65.94;-65.49;-53.12
1471.500;-5.78;-66.32;-66.11;-65.67;-53.12
1471.510;-5.62;-66.47;-66.26;-65.82;-53.11
1471.520;-5.50;-66.59;-66.39;-65.94;-52.98
1471.530;-5.32;-66.77;-66.57;-66.12;-53.11
1471.540;-5.23;-66.86;-66.65;-66.21;-53.09
1471.550;-5.15;-66.95;-66.74;-66.30;-53.15
1471.560;-5.01;-67.09;-66.88;-66.44;-53.13
1471.570;-4.94;-67.15;-66.94;-66.50;-53.08
1471.580;-4.91;-67.18;-66.98;-66.53;-53.07
1471.590;-4.87;-67.22;-67.02;-66.57;-53.05
1471.600;-4.79;-67.30;-67.10;-66.65;-53.10
1471.610;-4.68;-67.41;-67.21;-66.76;-53.14
1471.620;-4.66;-67.44;-67.23;-66.78;-53.13
1471.630;-4.63;-67.46;-67.26;-66.81;-53.13
1471.640;-4.49;-67.61;-67.40;-66.96;-53.12
1471.650;-4.47;-67.62;-67.42;-66.97;-53.10
1471.660;-4.44;-67.66;-67.45;-67.01;-53.10
1471.670;-4.37;-67.72;-67.52;-67.07;-53.13
1471.680;-4.37;-67.72;-67.52;-67.07;-53.13
1471.690;-4.39;-67.71;-67.50;-67.06;-53.10
1471.700;-4.41;-67.68;-67.48;-67.03;-53.09
1471.710;-4.50;-67.60;-67.39;-66.94;-53.09
1471.720;-4.54;-67.55;-67.34;-66.90;-53.08
1471.730;-4.60;-67.50;-67.29;-66.85;-53.19
1471.740;-4.54;-67.55;-67.35;-66.90;-53.17
1471.750;-4.63;-67.46;-67.25;-66.81;-53.08
1471.760;-4.76;-67.33;-67.12;-66.68;-53.14
1471.770;-4.82;-67.28;-67.07;-66.62;-53.13
1471.780;-5.12;-66.98;-66.77;-66.32;-53.00
1471.790;-5.68;-66.41;-66.20;-65.76;-52.97
1471.800;-6.10;-66.00;-65.79;-65.34;-53.10
1471.810;-6.35;-65.74;-65.53;-65.09;-53.06
1471.820;-6.56;-65.54;-65.33;-64.88;-52.97
1471.830;-6.74;-65.35;-65.14;-64.70;-53.11
1471.840;-6.92;-65.17;-64.96;-64.52;-53.03
1471.850;-7.12;-64.97;-64.76;-64.32;-52.98
1471.860;-7.39;-64.70;-64.49;-64.05;-53.02
1471.870;-7.73;-64.36;-64.15;-63.71;-52.86
1471.880;-8.03;-64.07;-63.86;-63.41;-52.76
1471.890;-8.31;-63.78;-63.57;-63.13;-52.81
1471.900;-8.44;-63.65;-63.44;-63.00;-52.80
1471.910;-8.68;-63.41;-63.20;-62.76;-52.70
1471.920;-8.64;-63.46;-63.25;-62.80;-52.81
1471.930;-8.54;-63.55;-63.34;-62.90;-52.86
1471.940;-8.70;-63.40;-63.19;-62.75;-52.78
1471.950;-8.69;-63.41;-63.20;-62.75;-52.78
1471.960;-8.40;-63.70;-63.49;-63.04;-52.91
1471.970;-8.43;-63.66;-63.45;-63.01;-52.69
1471.980;-8.37;-63.72;-63.51;-63.07;-52.70
1471.990;-8.37;-63.73;-63.52;-63.07;-52.59
1472.000;-8.32;-63.77;-63.57;-63.12;-52.64
1472.010;-8.17;-63.92;-63.71;-63.27;-52.70
1472.020;-8.16;-63.93;-63.72;-63.28;-52.58
1472.030;-7.97;-64.13;-63.92;-63.48;-52.66
1472.040;-7.70;-64.40;-64.19;-63.74;-52.62
1472.050;-7.53;-64.56;-64.35;-63.91;-52.61
1472.060;-7.35;-64.74;-64.53;-64.09;-52.57
1472.070;-7.12;-64.97;-64.76;-64.32;-52.57
1472.080;-7.05;-65.05;-64.84;-64.40;-52.51
1472.090;-6.90;-65.19;-64.98;-64.54;-52.37
1472.100;-6.83;-65.27;-65.06;-64.61;-52.34
1472.110;-6.70;-65.39;-65.18;-64.74;-52.36
1472.120;-6.55;-65.54;-65.33;-64.89;-52.32
1472.130;-6.45;-65.64;-65.43;-64.99;-52.39
1472.140;-6.28;-65.81;-65.60;-65.16;-52.27
1472.150;-6.16;-65.94;-65.73;-65.29;-52.20
1472.160;-6.04;-66.06;-65.85;-65.41;-52.15
1472.170;-5.85;-66.25;-66.03;-65.59;-52.16
1472.180;-5.78;-66.32;-66.11;-65.67;-52.17
1472.190;-5.67;-66.42;-66.21;-65.77;-52.16
1472.200;-5.56;-66.53;-66.32;-65.88;-52.13
1472.210;-5.47;-66.62;-66.41;-65.97;-52.07
1472.220;-5.34;-66.75;-66.54;-66.10;-52.08
1472.230;-5.28;-66.81;-66.60;-66.16;-52.08
1472.240;-5.15;-66.95;-66.74;-66.30;-51.90
1472.250;-5.04;-67.05;-66.84;-66.40;-51.90
1472.260;-4.98;-67.11;-66.90;-66.46;-51.93
1472.270;-4.83;-67.26;-67.05;-66.61;-51.81
1472.280;-4.70;-67.39;-67.18;-66.74;-51.86
1472.290;-4.69;-67.41;-67.19;-66.75;-51.82
1472.300;-4.58;-67.51;-67.30;-66.86;-51.69
1472.310;-4.50;-67.59;-67.38;-66.94;-51.72
1472.320;-4.43;-67.66;-67.45;-67.01;-51.67
1472.330;-4.37;-67.72;-67.51;-67.07;-51.51
1472.340;-4.31;-67.78;-67.57;-67.13;-51.63
1472.350;-4.28;-67.82;-67.60;-67.16;-51.53
1472.360;-4.26;-67.83;-67.62;-67.18;-51.51
1472.370;-4.18;-67.91;-67.70;-67.26;-51.46
1472.380;-4.13;-67.96;-67.75;-67.31;-51.47
1472.390;-4.13;-67.96;-67.75;-67.31;-51.46
1472.400;-4.13;-67.96;-67.75;-67.31;-51.46
1472.410;-4.09;-68.00;-67.79;-67.35;-51.48
1472.420;-4.09;-68.00;-67.79;-67.35;-51.41
1472.430;-4.08;-68.01;-67.80;-67.36;-51.39
1472.440;-4.07;-68.02;-67.81;-67.37;-51.31
1472.450;-4.07;-68.02;-67.81;-67.37;-51.28
1472.460;-4.08;-68.01;-67.80;-67.36;-51.28
1472.470;-4.05;-68.04;-67.83;-67.39;-51.31
1472.480;-4.06;-68.04;-67.82;-67.39;-51.18
1472.490;-4.08;-68.01;-67.80;-67.36;-51.26
1472.500;-4.15;-67.94;-67.73;-67.29;-51.31
1472.510;-4.19;-67.90;-67.69;-67.25;-51.20
1472.520;-4.28;-67.82;-67.60;-67.17;-51.16
1472.530;-4.35;-67.75;-67.53;-67.10;-51.14
1472.540;-4.38;-67.72;-67.50;-67.07;-51.13
1472.550;-4.40;-67.70;-67.48;-67.05;-51.03
1472.560;-4.43;-67.66;-67.45;-67.02;-51.10
1472.570;-4.44;-67.65;-67.44;-67.00;-51.08
1472.580;-4.50;-67.59;-67.38;-66.94;-51.12
1472.590;-4.57;-67.52;-67.31;-66.87;-51.07
1472.600;-4.69;-67.40;-67.19;-66.76;-51.05
1472.610;-4.95;-67.15;-66.93;-66.50;-51.02
1472.620;-5.36;-66.74;-66.52;-66.09;-51.02
1472.630;-5.80;-66.30;-66.08;-65.65;-50.95
1472.640;-5.99;-66.11;-65.89;-65.46;-50.83
1472.650;-6.02;-66.07;-65.86;-65.43;-50.96
1472.660;-6.17;-65.92;-65.71;-65.28;-50.90
1472.670;-6.24;-65.85;-65.64;-65.20;-50.95
1472.680;-6.19;-65.91;-65.69;-65.26;-50.84
1472.690;-6.24;-65.86;-65.64;-65.21;-50.85
1472.700;-6.23;-65.86;-65.65;-65.22;-50.89
1472.710;-6.30;-65.80;-65.58;-65.15;-50.77
1472.720;-6.35;-65.74;-65.53;-65.10;-50.82
1472.730;-6.35;-65.74;-65.53;-65.10;-50.74
1472.740;-6.31;-65.79;-65.57;-65.14;-50.81
1472.750;-6.34;-65.76;-65.54;-65.11;-50.68
1472.760;-6.25;-65.84;-65.63;-65.20;-50.69
1472.770;-6.16;-65.93;-65.72;-65.29;-50.70
1472.780;-6.06;-66.03;-65.82;-65.39;-50.68
1472.790;-5.99;-66.10;-65.89;-65.46;-50.71
1472.800;-5.93;-66.17;-65.95;-65.52;-50.74
1472.810;-5.87;-66.22;-66.01;-65.58;-50.68
1472.820;-5.94;-66.15;-65.94;-65.51;-50.69
1472.830;-5.92;-66.18;-65.96;-65.53;-50.61
1472.840;-5.80;-66.29;-66.08;-65.65;-50.62
1472.850;-5.70;-66.40;-66.18;-65.75;-50.65
1472.860;-5.58;-66.51;-66.30;-65.87;-50.59
1472.870;-5.51;-66.58;-66.37;-65.94;-50.52
1472.880;-5.39;-66.70;-66.49;-66.06;-50.46
1472.890;-5.31;-66.78;-66.57;-66.14;-50.42
1472.900;-5.25;-66.84;-66.63;-66.20;-50.43
1472.910;-5.22;-66.87;-66.66;-66.23;-50.45
1472.920;-5.16;-66.93;-66.72;-66.29;-50.46
1472.930;-5.13;-66.96;-66.75;-66.32;-50.42
1472.940;-5.08;-67.01;-66.80;-66.37;-50.30
1472.950;-5.01;-67.08;-66.87;-66.44;-50.36
1472.960;-4.97;-67.12;-66.91;-66.48;-50.45
1472.970;-4.91;-67.18;-66.97;-66.54;-50.42
1472.980;-4.77;-67.32;-67.11;-66.68;-50.41
1472.990;-4.68;-67.42;-67.20;-66.78;-50.44
1473.000;-4.62;-67.47;-67.26;-66.83;-50.46
1473.010;-4.53;-67.56;-67.35;-66.92;-50.45
1473.020;-4.49;-67.60;-67.39;-66.96;-50.48
1473.030;-4.48;-67.61;-67.40;-66.97;-50.42
1473.040;-4.43;-67.67;-67.45;-67.03;-50.45
1473.050;-4.34;-67.76;-67.54;-67.12;-50.40
1473.060;-4.29;-67.81;-67.59;-67.17;-50.41
1473.070;-4.20;-67.89;-67.68;-67.25;-50.45
1473.080;-4.11;-67.98;-67.77;-67.34;-50.35
1473.090;-4.07;-68.03;-67.81;-67.39;-50.35
1473.100;-4.02;-68.07;-67.86;-67.43;-50.32
1473.110;-4.01;-68.08;-67.87;-67.44;-50.37
1473.120;-3.95;-68.14;-67.93;-67.50;-50.34
1473.130;-3.92;-68.17;-67.96;-67.53;-50.35
1473.140;-3.89;-68.21;-67.99;-67.56;-50.37
1473.150;-3.84;-68.26;-68.04;-67.62;-50.42
1473.160;-3.82;-68.27;-68.05;-67.63;-50.32
1473.170;-3.78;-68.31;-68.09;-67.67;-50.41
1473.180;-3.74;-68.35;-68.13;-67.71;-50.46
1473.190;-3.74;-68.36;-68.14;-67.71;-50.50
1473.200;-3.73;-68.37;-68.15;-67.73;-50.47
1473.210;-3.71;-68.38;-68.17;-67.74;-50.47
1473.220;-3.72;-68.38;-68.16;-67.73;-50.51
1473.230;-3.70;-68.39;-68.18;-67.75;-50.43
1473.240;-3.72;-68.37;-68.15;-67.73;-50.43
1473.250;-3.75;-68.34;-68.12;-67.70;-50.50
1473.260;-3.83;-68.26;-68.05;-67.62;-50.55
1473.270;-4.00;-68.09;-67.87;-67.45;-50.51
1473.280;-4.09;-68.01;-67.79;-67.36;-50.59
1473.290;-4.22;-67.87;-67.65;-67.23;-50.65
1473.300;-4.26;-67.83;-67.61;-67.19;-50.61
1473.310;-4.30;-67.80;-67.58;-67.15;-50.54
1473.320;-4.37;-67.72;-67.50;-67.08;-50.63
1473.330;-4.35;-67.74;-67.52;-67.10;-50.77
1473.340;-4.36;-67.73;-67.51;-67.09;-50.75
1473.350;-4.30;-67.79;-67.57;-67.15;-50.68
1473.360;-4.32;-67.78;-67.56;-67.13;-50.68
1473.370;-4.30;-67.79;-67.57;-67.15;-50.67
1473.380;-4.23;-67.87;-67.64;-67.22;-50.68
1473.390;-4.29;-67.81;-67.58;-67.16;-50.61
1473.400;-4.28;-67.81;-67.59;-67.17;-50.64
1473.410;-4.27;-67.83;-67.60;-67.18;-50.71
1473.420;-4.34;-67.75;-67.53;-67.11;-50.68
1473.430;-4.32;-67.77;-67.55;-67.13;-50.61
1473.440;-4.29;-67.80;-67.58;-67.16;-50.59
1473.450;-4.35;-67.75;-67.52;-67.10;-50.65
1473.460;-4.28;-67.81;-67.59;-67.17;-50.68
1473.470;-4.28;-67.81;-67.59;-67.16;-50.67
1473.480;-4.29;-67.80;-67.58;-67.15;-50.65
1473.490;-4.24;-67.85;-67.63;-67.20;-50.55
1473.500;-4.27;-67.82;-67.60;-67.18;-50.63
1473.510;-4.30;-67.79;-67.57;-67.14;-50.69
1473.520;-4.30;-67.79;-67.56;-67.14;-50.67
1473.530;-4.34;-67.75;-67.53;-67.10;-50.64
1473.540;-4.36;-67.73;-67.51;-67.09;-50.59
1473.550;-4.28;-67.81;-67.59;-67.16;-50.60
1473.560;-4.39;-67.70;-67.48;-67.06;-50.53
1473.570;-4.33;-67.76;-67.54;-67.12;-50.48
1473.580;-4.29;-67.80;-67.58;-67.15;-50.56
1473.590;-4.31;-67.78;-67.56;-67.13;-50.54
1473.600;-4.29;-67.81;-67.58;-67.16;-50.45
1473.610;-4.24;-67.85;-67.62;-67.20;-50.44
1473.620;-4.30;-67.80;-67.57;-67.15;-50.38
1473.630;-4.29;-67.80;-67.57;-67.15;-50.31
1473.640;-4.32;-67.78;-67.55;-67.13;-50.34
1473.650;-4.36;-67.73;-67.50;-67.08;-50.38
1473.660;-4.30;-67.79;-67.57;-67.14;-50.36
1473.670;-4.32;-67.77;-67.54;-67.12;-50.30
1473.680;-4.31;-67.78;-67.56;-67.13;-50.32
1473.690;-4.26;-67.83;-67.60;-67.18;-50.20
1473.700;-4.27;-67.83;-67.60;-67.18;-50.20
1473.710;-4.26;-67.84;-67.61;-67.19;-50.22
1473.720;-4.23;-67.87;-67.64;-67.21;-50.20
1473.730;-4.25;-67.85;-67.62;-67.19;-50.15
1473.740;-4.26;-67.83;-67.60;-67.18;-50.27
1473.750;-4.20;-67.89;-67.66;-67.24;-50.28
1473.760;-4.24;-67.85;-67.62;-67.20;-50.21
1473.770;-4.25;-67.84;-67.61;-67.19;-50.29
1473.780;-4.24;-67.86;-67.63;-67.21;-50.29
1473.790;-4.15;-67.94;-67.71;-67.29;-50.35
1473.800;-4.12;-67.97;-67.74;-67.32;-50.39
1473.810;-4.05;-68.04;-67.81;-67.39;-50.42
1473.820;-4.01;-68.08;-67.85;-67.43;-50.48
1473.830;-4.02;-68.07;-67.84;-67.42;-50.46
1473.840;-4.03;-68.06;-67.83;-67.41;-50.46
1473.850;-4.05;-68.04;-67.81;-67.39;-50.54
1473.860;-4.03;-68.06;-67.83;-67.41;-50.54
1473.870;-4.05;-68.04;-67.81;-67.39;-50.50
1473.880;-4.07;-68.03;-67.80;-67.37;-50.52
1473.890;-4.08;-68.01;-67.78;-67.36;-50.54
1473.900;-4.14;-67.95;-67.72;-67.30;-50.65
1473.910;-4.16;-67.93;-67.70;-67.28;-50.69
1473.920;-4.19;-67.91;-67.68;-67.25;-50.76
1473.930;-4.22;-67.87;-67.64;-67.22;-50.74
1473.940;-4.23;-67.86;-67.63;-67.21;-50.68
1473.950;-4.24;-67.86;-67.63;-67.20;-50.75
1473.960;-4.26;-67.83;-67.61;-67.18;-50.82
1473.970;-4.25;-67.84;-67.62;-67.19;-50.78
1473.980;-4.28;-67.82;-67.59;-67.16;-50.83
1473.990;-4.26;-67.83;-67.61;-67.18;-50.90
1474.000;-4.29;-67.80;-67.58;-67.15;-50.78
1474.010;-4.25;-67.84;-67.62;-67.19;-50.70
1474.020;-4.24;-67.85;-67.62;-67.20;-50.77
1474.030;-4.30;-67.80;-67.57;-67.14;-50.77
1474.040;-4.30;-67.79;-67.56;-67.14;-50.79
1474.050;-4.30;-67.79;-67.57;-67.14;-50.75
1474.060;-4.31;-67.78;-67.55;-67.13;-50.65
1474.070;-4.31;-67.78;-67.56;-67.13;-50.73
1474.080;-4.30;-67.80;-67.57;-67.14;-50.68
1474.090;-4.31;-67.78;-67.56;-67.13;-50.75
1474.100;-4.30;-67.80;-67.57;-67.14;-50.71
1474.110;-4.28;-67.81;-67.59;-67.16;-50.59
1474.120;-4.27;-67.82;-67.60;-67.17;-50.64
1474.130;-4.35;-67.74;-67.52;-67.09;-50.63
1474.140;-4.33;-67.76;-67.54;-67.11;-50.63
1474.150;-4.33;-67.77;-67.55;-67.11;-50.66
1474.160;-4.36;-67.73;-67.51;-67.08;-50.55
1474.170;-4.29;-67.80;-67.58;-67.15;-50.62
1474.180;-4.32;-67.78;-67.56;-67.12;-50.50
1474.190;-4.34;-67.75;-67.53;-67.10;-50.52
1474.200;-4.26;-67.83;-67.61;-67.18;-50.52
1474.210;-4.29;-67.80;-67.58;-67.15;-50.53
1474.220;-4.29;-67.80;-67.58;-67.15;-50.55
1474.230;-4.28;-67.81;-67.59;-67.16;-50.35
1474.240;-4.37;-67.73;-67.51;-67.08;-50.34
1474.250;-4.36;-67.73;-67.51;-67.08;-50.36
1474.260;-4.37;-67.72;-67.50;-67.07;-50.41
1474.270;-4.39;-67.71;-67.49;-67.06;-50.29
1474.280;-4.35;-67.74;-67.52;-67.09;-50.30
1474.290;-4.33;-67.76;-67.54;-67.11;-50.30
1474.300;-4.33;-67.76;-67.54;-67.11;-50.25
1474.310;-4.32;-67.77;-67.55;-67.12;-50.10
1474.320;-4.33;-67.76;-67.55;-67.11;-50.24
1474.330;-4.29;-67.80;-67.59;-67.15;-50.18
1474.340;-4.33;-67.76;-67.55;-67.11;-50.13
1474.350;-4.34;-67.75;-67.54;-67.10;-50.12
1474.360;-4.33;-67.76;-67.55;-67.11;-50.07
1474.370;-4.35;-67.74;-67.53;-67.09;-49.97
1474.380;-4.32;-67.78;-67.56;-67.12;-50.01
1474.390;-4.30;-67.79;-67.57;-67.14;-50.02
1474.400;-4.30;-67.80;-67.58;-67.14;-49.92
1474.410;-4.27;-67.83;-67.61;-67.17;-50.00
1474.420;-4.25;-67.84;-67.63;-67.19;-49.96
1474.430;-4.25;-67.84;-67.62;-67.19;-49.93
1474.440;-4.23;-67.87;-67.65;-67.21;-49.92
1474.450;-4.23;-67.87;-67.65;-67.21;-49.87
1474.460;-4.25;-67.84;-67.63;-67.19;-49.90
1474.470;-4.21;-67.88;-67.67;-67.23;-49.94
1474.480;-4.22;-67.88;-67.66;-67.22;-49.94
1474.490;-4.19;-67.90;-67.69;-67.25;-49.86
1474.500;-4.16;-67.93;-67.72;-67.28;-49.89
1474.510;-4.15;-67.94;-67.73;-67.29;-49.85
1474.520;-4.13;-67.96;-67.75;-67.31;-49.83
1474.530;-4.09;-68.00;-67.79;-67.35;-49.80
1474.540;-4.08;-68.01;-67.80;-67.36;-49.85
1474.550;-4.07;-68.02;-67.81;-67.37;-49.80
1474.560;-4.07;-68.02;-67.81;-67.37;-49.78
1474.570;-4.08;-68.01;-67.80;-67.36;-49.72
1474.580;-4.05;-68.04;-67.83;-67.39;-49.90
1474.590;-4.06;-68.03;-67.82;-67.38;-49.90
1474.600;-4.03;-68.06;-67.84;-67.40;-49.88
1474.610;-4.01;-68.08;-67.86;-67.42;-49.79
