WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL
1470.580;-4.47;-67.62;-67.40;-32.20
1470.590;-4.51;-67.58;-67.37;-32.21
1470.600;-4.50;-67.59;-67.38;-32.14
1470.610;-4.51;-67.57;-67.36;-32.18
1470.620;-4.50;-67.59;-67.38;-32.16
1470.630;-4.52;-67.56;-67.35;-32.15
1470.640;-4.48;-67.61;-67.40;-32.16
1470.650;-4.52;-67.57;-67.36;-32.18
1470.660;-4.62;-67.47;-67.26;-32.17
1470.670;-4.52;-67.57;-67.36;-32.13
1470.680;-4.51;-67.57;-67.36;-32.09
1470.690;-4.54;-67.54;-67.34;-32.18
1470.700;-4.51;-67.58;-67.37;-32.16
1470.710;-4.52;-67.56;-67.35;-32.18
1470.720;-4.52;-67.57;-67.36;-32.13
1470.730;-4.44;-67.64;-67.43;-32.14
1470.740;-4.44;-67.64;-67.44;-32.16
1470.750;-4.47;-67.61;-67.40;-32.15
1470.760;-4.44;-67.64;-67.44;-32.16
1470.770;-4.52;-67.56;-67.36;-32.19
1470.780;-4.52;-67.56;-67.36;-32.23
1470.790;-4.49;-67.60;-67.39;-32.22
1470.800;-4.44;-67.64;-67.43;-32.29
1470.810;-4.42;-67.67;-67.46;-32.17
1470.820;-4.44;-67.64;-67.44;-32.31
1470.830;-4.39;-67.69;-67.49;-32.27
1470.840;-4.44;-67.64;-67.44;-32.25
1470.850;-4.38;-67.70;-67.50;-32.26
1470.860;-4.44;-67.64;-67.44;-32.20
1470.870;-4.51;-67.58;-67.37;-32.28
1470.880;-4.69;-67.39;-67.19;-32.27
1470.890;-4.85;-67.23;-67.03;-32.22
1470.900;-4.81;-67.27;-67.07;-32.26
1470.910;-4.82;-67.26;-67.06;-32.22
1470.920;-4.76;-67.32;-67.12;-32.26
1470.930;-4.71;-67.38;-67.17;-32.26
1470.940;-4.66;-67.42;-67.22;-32.29
1470.950;-4.61;-67.47;-67.27;-32.31
1470.960;-4.58;-67.50;-67.30;-32.32
1470.970;-4.57;-67.51;-67.31;-32.34
1470.980;-4.53;-67.56;-67.35;-32.36
1470.990;-4.45;-67.63;-67.43;-32.31
1471.000;-4.47;-67.62;-67.41;-32.37
1471.010;-4.41;-67.67;-67.47;-32.31
1471.020;-4.34;-67.75;-67.54;-32.31
1471.030;-4.29;-67.79;-67.59;-32.38
1471.040;-4.21;-67.88;-67.67;-32.32
1471.050;-4.15;-67.94;-67.73;-32.36
1471.060;-4.12;-67.97;-67.76;-32.35
1471.070;-4.08;-68.00;-67.80;-32.31
1471.080;-4.04;-68.04;-67.84;-32.34
1471.090;-4.01;-68.07;-67.87;-32.28
1471.100;-3.95;-68.13;-67.93;-32.36
1471.110;-3.91;-68.18;-67.98;-32.35
1471.120;-3.85;-68.24;-68.04;-32.42
1471.130;-3.80;-68.29;-68.09;-32.38
1471.140;-3.79;-68.29;-68.09;-32.39
1471.150;-3.87;-68.21;-68.01;-32.38
1471.160;-3.99;-68.10;-67.90;-32.41
1471.170;-4.11;-67.98;-67.78;-32.49
1471.180;-4.24;-67.85;-67.65;-32.53
1471.190;-4.35;-67.73;-67.53;-32.58
1471.200;-4.43;-67.66;-67.46;-32.59
1471.210;-4.46;-67.63;-67.43;-32.58
1471.220;-4.45;-67.64;-67.44;-32.58
1471.230;-4.46;-67.63;-67.43;-32.59
1471.240;-4.44;-67.65;-67.44;-32.63
1471.250;-4.44;-67.65;-67.44;-32.67
1471.260;-4.49;-67.60;-67.39;-32.65
1471.270;-4.47;-67.62;-67.41;-32.75
1471.280;-4.48;-67.60;-67.40;-32.68
1471.290;-4.52;-67.57;-67.37;-32.67
1471.300;-4.47;-67.62;-67.42;-32.69
1471.310;-4.50;-67.59;-67.38;-32.69
1471.320;-4.48;-67.60;-67.40;-32.62
1471.330;-4.42;-67.67;-67.46;-32.58
1471.340;-4.47;-67.62;-67.42;-32.65
1471.350;-4.51;-67.58;-67.38;-32.67
1471.360;-4.47;-67.62;-67.42;-32.72
1471.370;-4.57;-67.52;-67.32;-32.65
1471.380;-4.53;-67.56;-67.36;-32.65
1471.390;-4.48;-67.61;-67.41;-32.62
1471.400;-4.53;-67.56;-67.36;-32.63
1471.410;-4.52;-67.57;-67.36;-32.63
1471.420;-4.49;-67.60;-67.39;-32.63
1471.430;-4.51;-67.58;-67.37;-32.64
1471.440;-4.45;-67.64;-67.44;-32.64
1471.450;-4.44;-67.66;-67.45;-32.63
1471.460;-4.50;-67.59;-67.39;-32.65
1471.470;-4.45;-67.64;-67.43;-32.63
1471.480;-4.51;-67.58;-67.37;-32.61
1471.490;-4.51;-67.58;-67.37;-32.65
1471.500;-4.51;-67.58;-67.37;-32.65
1471.510;-4.50;-67.59;-67.39;-32.65
1471.520;-4.51;-67.58;-67.37;-32.71
1471.530;-4.44;-67.65;-67.44;-32.69
1471.540;-4.47;-67.63;-67.42;-32.68
1471.550;-4.45;-67.64;-67.44;-32.67
1471.560;-4.41;-67.68;-67.47;-32.66
1471.570;-4.43;-67.67;-67.46;-32.67
1471.580;-4.42;-67.67;-67.46;-32.69
1471.590;-4.49;-67.61;-67.40;-32.69
1471.600;-4.44;-67.65;-67.44;-32.77
1471.610;-4.49;-67.61;-67.40;-32.74
1471.620;-4.49;-67.61;-67.40;-32.68
1471.630;-4.45;-67.65;-67.44;-32.68
1471.640;-4.45;-67.64;-67.44;-32.68
1471.650;-4.41;-67.69;-67.48;-32.73
1471.660;-4.38;-67.71;-67.51;-32.72
1471.670;-4.40;-67.69;-67.49;-32.76
1471.680;-4.37;-67.72;-67.52;-32.76
1471.690;-4.43;-67.66;-67.45;-32.72
1471.700;-4.41;-67.69;-67.48;-32.65
1471.710;-4.42;-67.68;-67.47;-32.70
1471.720;-4.39;-67.70;-67.50;-32.73
1471.730;-4.36;-67.74;-67.53;-32.75
1471.740;-4.35;-67.74;-67.53;-32.70
1471.750;-4.32;-67.78;-67.57;-32.73
1471.760;-4.29;-67.80;-67.60;-32.71
1471.770;-4.28;-67.82;-67.61;-32.74
1471.780;-4.27;-67.83;-67.62;-32.71
1471.790;-4.30;-67.80;-67.59;-32.69
1471.800;-4.30;-67.80;-67.59;-32.69
1471.810;-4.30;-67.80;-67.59;-32.69
1471.820;-4.29;-67.81;-67.60;-32.68
1471.830;-4.25;-67.85;-67.64;-32.74
1471.840;-4.24;-67.85;-67.64;-32.74
1471.850;-4.24;-67.86;-67.65;-32.71
1471.860;-4.23;-67.87;-67.66;-32.71
1471.870;-4.23;-67.87;-67.66;-32.76
1471.880;-4.23;-67.87;-67.66;-32.74
1471.890;-4.26;-67.83;-67.62;-32.74
1471.900;-4.28;-67.81;-67.61;-32.74
1471.910;-4.32;-67.77;-67.56;-32.73
1471.920;-4.37;-67.72;-67.51;-32.70
1471.930;-4.39;-67.71;-67.50;-32.75
1471.940;-4.42;-67.67;-67.46;-32.75
1471.950;-4.41;-67.68;-67.47;-32.73
1471.960;-4.38;-67.71;-67.50;-32.79
1471.970;-4.44;-67.65;-67.45;-32.82
1471.980;-4.41;-67.69;-67.48;-32.81
1471.990;-4.44;-67.65;-67.44;-32.82
1472.000;-4.46;-67.64;-67.43;-32.84
1472.010;-4.45;-67.64;-67.43;-32.78
1472.020;-4.48;-67.62;-67.41;-32.77
1472.030;-4.48;-67.62;-67.41;-32.75
1472.040;-4.46;-67.64;-67.43;-32.76
1472.050;-4.44;-67.65;-67.44;-32.74
1472.060;-4.44;-67.65;-67.44;-32.80
1472.070;-4.44;-67.65;-67.44;-32.81
1472.080;-4.45;-67.64;-67.43;-32.81
1472.090;-4.48;-67.61;-67.40;-32.78
1472.100;-4.50;-67.60;-67.39;-32.80
1472.110;-4.53;-67.57;-67.36;-32.78
1472.120;-4.48;-67.62;-67.41;-32.79
1472.130;-4.47;-67.62;-67.41;-32.83
1472.140;-4.51;-67.59;-67.38;-32.78
1472.150;-4.47;-67.62;-67.41;-32.81
1472.160;-4.46;-67.63;-67.42;-32.86
1472.170;-4.51;-67.58;-67.37;-32.83
1472.180;-4.46;-67.63;-67.42;-32.88
1472.190;-4.47;-67.62;-67.41;-32.86
1472.200;-4.57;-67.53;-67.32;-32.89
1472.210;-4.49;-67.61;-67.40;-32.96
1472.220;-4.53;-67.56;-67.35;-32.89
1472.230;-4.46;-67.63;-67.42;-32.90
1472.240;-4.53;-67.57;-67.36;-32.86
1472.250;-4.47;-67.63;-67.42;-32.90
1472.260;-4.43;-67.66;-67.45;-32.86
1472.270;-4.45;-67.64;-67.43;-32.88
1472.280;-4.41;-67.68;-67.47;-32.94
1472.290;-4.44;-67.65;-67.44;-32.87
1472.300;-4.48;-67.61;-67.40;-32.91
1472.310;-4.47;-67.63;-67.41;-32.91
1472.320;-4.49;-67.60;-67.39;-32.89
1472.330;-4.50;-67.60;-67.38;-32.89
1472.340;-4.50;-67.60;-67.39;-32.92
1472.350;-4.52;-67.57;-67.36;-32.97
1472.360;-4.48;-67.61;-67.40;-32.94
1472.370;-4.41;-67.68;-67.47;-32.96
1472.380;-4.42;-67.67;-67.46;-32.98
1472.390;-4.40;-67.70;-67.48;-32.96
1472.400;-4.41;-67.68;-67.47;-33.03
1472.410;-4.44;-67.65;-67.44;-33.04
1472.420;-4.46;-67.64;-67.42;-33.04
1472.430;-4.47;-67.62;-67.41;-33.10
1472.440;-4.42;-67.67;-67.46;-33.08
1472.450;-4.43;-67.66;-67.45;-33.06
1472.460;-4.43;-67.67;-67.45;-33.09
1472.470;-4.38;-67.71;-67.50;-33.10
1472.480;-4.36;-67.74;-67.52;-33.16
1472.490;-4.31;-67.79;-67.57;-33.15
1472.500;-4.29;-67.80;-67.59;-33.14
1472.510;-4.32;-67.78;-67.56;-33.17
1472.520;-4.33;-67.76;-67.55;-33.18
1472.530;-4.33;-67.76;-67.55;-33.17
1472.540;-4.33;-67.76;-67.55;-33.26
1472.550;-4.33;-67.76;-67.55;-33.25
1472.560;-4.31;-67.79;-67.57;-33.28
1472.570;-4.25;-67.84;-67.63;-33.32
1472.580;-4.27;-67.82;-67.61;-33.32
1472.590;-4.24;-67.85;-67.64;-33.34
1472.600;-4.24;-67.86;-67.64;-33.37
1472.610;-4.30;-67.80;-67.58;-33.41
1472.620;-4.27;-67.82;-67.61;-33.42
1472.630;-4.29;-67.81;-67.59;-33.51
1472.640;-4.33;-67.77;-67.55;-33.59
1472.650;-4.34;-67.75;-67.54;-33.56
1472.660;-4.37;-67.72;-67.51;-33.65
1472.670;-4.37;-67.72;-67.51;-33.71
1472.680;-4.35;-67.74;-67.53;-33.83
1472.690;-4.37;-67.72;-67.51;-33.86
1472.700;-4.37;-67.72;-67.51;-33.81
1472.710;-4.37;-67.72;-67.51;-33.77
1472.720;-4.44;-67.66;-67.44;-33.75
1472.730;-4.44;-67.65;-67.44;-33.69
1472.740;-4.43;-67.66;-67.45;-33.63
1472.750;-4.46;-67.63;-67.42;-33.70
1472.760;-4.41;-67.68;-67.47;-33.68
1472.770;-4.39;-67.70;-67.49;-33.54
1472.780;-4.44;-67.65;-67.44;-33.51
1472.790;-4.42;-67.68;-67.46;-33.38
1472.800;-4.44;-67.65;-67.44;-33.35
1472.810;-4.49;-67.60;-67.39;-33.25
1472.820;-4.47;-67.62;-67.41;-33.20
1472.830;-4.51;-67.58;-67.37;-33.23
1472.840;-4.47;-67.62;-67.41;-33.20
1472.850;-4.51;-67.59;-67.37;-33.13
1472.860;-4.47;-67.62;-67.41;-33.16
1472.870;-4.48;-67.61;-67.40;-33.13
1472.880;-4.48;-67.62;-67.40;-33.14
1472.890;-4.46;-67.63;-67.42;-33.18
1472.900;-4.45;-67.64;-67.43;-33.17
1472.910;-4.47;-67.62;-67.41;-33.15
1472.920;-4.50;-67.59;-67.38;-33.17
1472.930;-4.52;-67.57;-67.36;-33.23
1472.940;-4.51;-67.58;-67.37;-33.20
1472.950;-4.51;-67.58;-67.37;-33.18
1472.960;-4.50;-67.59;-67.38;-33.18
1472.970;-4.52;-67.57;-67.36;-33.16
1472.980;-4.50;-67.59;-67.38;-33.25
1472.990;-4.49;-67.60;-67.39;-33.16
1473.000;-4.49;-67.61;-67.39;-33.19
1473.010;-4.45;-67.64;-67.43;-33.17
1473.020;-4.51;-67.58;-67.37;-33.19
1473.030;-4.54;-67.55;-67.34;-33.25
1473.040;-4.52;-67.57;-67.36;-33.29
1473.050;-4.58;-67.51;-67.30;-33.28
1473.060;-4.49;-67.61;-67.39;-33.30
1473.070;-4.51;-67.59;-67.37;-33.25
1473.080;-4.51;-67.58;-67.37;-33.25
1473.090;-4.47;-67.63;-67.41;-33.24
1473.100;-4.47;-67.62;-67.41;-33.25
1473.110;-4.44;-67.65;-67.44;-33.22
1473.120;-4.45;-67.65;-67.43;-33.28
1473.130;-4.50;-67.59;-67.38;-33.32
1473.140;-4.52;-67.57;-67.35;-33.27
1473.150;-4.50;-67.60;-67.38;-33.29
1473.160;-4.48;-67.61;-67.40;-33.29
1473.170;-4.45;-67.64;-67.43;-33.30
1473.180;-4.41;-67.68;-67.46;-33.34
1473.190;-4.43;-67.66;-67.45;-33.39
1473.200;-4.38;-67.72;-67.50;-33.31
1473.210;-4.36;-67.73;-67.52;-33.32
1473.220;-4.35;-67.74;-67.53;-33.34
1473.230;-4.33;-67.76;-67.54;-33.33
1473.240;-4.34;-67.75;-67.53;-33.37
1473.250;-4.32;-67.77;-67.56;-33.41
1473.260;-4.31;-67.78;-67.56;-33.36
1473.270;-4.31;-67.79;-67.57;-33.38
1473.280;-4.27;-67.82;-67.60;-33.44
1473.290;-4.29;-67.80;-67.58;-33.42
1473.300;-4.24;-67.85;-67.64;-33.44
1473.310;-4.24;-67.86;-67.64;-33.44
1473.320;-4.24;-67.85;-67.63;-33.34
1473.330;-4.23;-67.86;-67.64;-33.51
1473.340;-4.24;-67.85;-67.63;-33.56
1473.350;-4.26;-67.83;-67.61;-33.48
1473.360;-4.29;-67.80;-67.58;-33.50
1473.370;-4.29;-67.81;-67.59;-33.53
1473.380;-4.30;-67.80;-67.57;-33.52
1473.390;-4.31;-67.78;-67.56;-33.54
1473.400;-4.31;-67.78;-67.56;-33.57
1473.410;-4.32;-67.77;-67.55;-33.52
1473.420;-4.33;-67.76;-67.54;-33.57
1473.430;-4.33;-67.77;-67.54;-33.56
1473.440;-4.36;-67.73;-67.51;-33.60
1473.450;-4.38;-67.71;-67.49;-33.68
1473.460;-4.41;-67.68;-67.46;-33.63
1473.470;-4.43;-67.67;-67.44;-33.65
1473.480;-4.43;-67.66;-67.44;-33.66
1473.490;-4.39;-67.70;-67.48;-33.72
1473.500;-4.42;-67.67;-67.45;-33.67
1473.510;-4.42;-67.68;-67.45;-33.58
1473.520;-4.41;-67.69;-67.46;-33.66
1473.530;-4.44;-67.65;-67.43;-33.74
1473.540;-4.46;-67.64;-67.41;-33.72
1473.550;-4.46;-67.63;-67.40;-33.79
1473.560;-4.51;-67.58;-67.36;-33.74
1473.570;-4.47;-67.62;-67.40;-33.76
1473.580;-4.46;-67.63;-67.41;-33.75
1473.590;-4.49;-67.60;-67.38;-33.76
1473.600;-4.45;-67.64;-67.42;-33.78
1473.610;-4.47;-67.63;-67.40;-33.84
1473.620;-4.47;-67.62;-67.39;-33.81
1473.630;-4.48;-67.61;-67.39;-33.80
1473.640;-4.50;-67.59;-67.36;-33.85
1473.650;-4.51;-67.58;-67.35;-33.86
1473.660;-4.58;-67.51;-67.28;-33.88
1473.670;-4.52;-67.58;-67.35;-33.84
1473.680;-4.51;-67.58;-67.35;-33.88
1473.690;-4.51;-67.58;-67.35;-34.01
1473.700;-4.47;-67.62;-67.39;-33.93
1473.710;-4.52;-67.57;-67.34;-33.94
1473.720;-4.51;-67.58;-67.35;-33.95
1473.730;-4.44;-67.65;-67.42;-33.93
1473.740;-4.50;-67.60;-67.37;-33.96
1473.750;-4.51;-67.58;-67.35;-33.95
1473.760;-4.50;-67.59;-67.36;-33.96
1473.770;-4.55;-67.54;-67.31;-33.97
1473.780;-4.50;-67.59;-67.36;-33.95
1473.790;-4.49;-67.60;-67.37;-34.05
1473.800;-4.53;-67.57;-67.34;-34.05
1473.810;-4.48;-67.61;-67.38;-34.03
1473.820;-4.46;-67.63;-67.40;-34.02
1473.830;-4.48;-67.62;-67.39;-34.02
1473.840;-4.43;-67.66;-67.43;-34.09
1473.850;-4.47;-67.62;-67.40;-34.12
1473.860;-4.49;-67.60;-67.37;-34.12
1473.870;-4.48;-67.61;-67.39;-34.17
1473.880;-4.47;-67.62;-67.39;-34.19
1473.890;-4.44;-67.65;-67.42;-34.18
1473.900;-4.46;-67.64;-67.41;-34.17
1473.910;-4.39;-67.70;-67.47;-34.23
1473.920;-4.38;-67.71;-67.48;-34.21
1473.930;-4.39;-67.71;-67.48;-34.27
1473.940;-4.35;-67.75;-67.52;-34.28
1473.950;-4.33;-67.76;-67.53;-34.32
1473.960;-4.33;-67.76;-67.53;-34.38
1473.970;-4.35;-67.74;-67.52;-34.30
1473.980;-4.34;-67.75;-67.52;-34.38
1473.990;-4.32;-67.77;-67.55;-34.40
1474.000;-4.30;-67.79;-67.57;-34.48
1474.010;-4.26;-67.84;-67.61;-34.55
1474.020;-4.23;-67.86;-67.63;-34.62
1474.030;-4.23;-67.87;-67.64;-34.62
1474.040;-4.23;-67.87;-67.64;-34.74
1474.050;-4.23;-67.87;-67.64;-34.83
1474.060;-4.24;-67.85;-67.63;-34.80
1474.070;-4.26;-67.83;-67.61;-34.72
1474.080;-4.28;-67.81;-67.58;-34.72
1474.090;-4.30;-67.80;-67.57;-34.62
1474.100;-4.28;-67.81;-67.59;-34.68
1474.110;-4.30;-67.80;-67.57;-34.67
1474.120;-4.30;-67.80;-67.57;-34.76
1474.130;-4.30;-67.80;-67.57;-34.71
1474.140;-4.32;-67.78;-67.56;-34.65
1474.150;-4.32;-67.78;-67.56;-34.63
1474.160;-4.34;-67.75;-67.53;-34.60
1474.170;-4.35;-67.74;-67.52;-34.48
1474.180;-4.39;-67.71;-67.49;-34.52
1474.190;-4.38;-67.72;-67.49;-34.45
1474.200;-4.37;-67.72;-67.50;-34.41
1474.210;-4.37;-67.72;-67.50;-34.40
1474.220;-4.40;-67.69;-67.47;-34.42
1474.230;-4.40;-67.69;-67.48;-34.38
1474.240;-4.40;-67.69;-67.47;-34.35
1474.250;-4.40;-67.70;-67.48;-34.31
1474.260;-4.43;-67.66;-67.44;-34.35
1474.270;-4.47;-67.62;-67.40;-34.30
1474.280;-4.47;-67.63;-67.41;-34.36
1474.290;-4.49;-67.60;-67.39;-34.35
1474.300;-4.50;-67.59;-67.38;-34.32
1474.310;-4.44;-67.65;-67.43;-34.45
1474.320;-4.47;-67.62;-67.40;-34.43
1474.330;-4.47;-67.62;-67.41;-34.45
1474.340;-4.44;-67.65;-67.43;-34.45
1474.350;-4.48;-67.61;-67.39;-34.43
1474.360;-4.48;-67.62;-67.40;-34.47
1474.370;-4.51;-67.58;-67.36;-34.40
1474.380;-4.51;-67.58;-67.37;-34.60
1474.390;-4.51;-67.58;-67.37;-34.51
1474.400;-4.49;-67.60;-67.38;-34.55
1474.410;-4.51;-67.58;-67.37;-34.49
1474.420;-4.46;-67.63;-67.42;-34.51
1474.430;-4.47;-67.62;-67.41;-34.52
1474.440;-4.50;-67.59;-67.38;-34.51
1474.450;-4.45;-67.64;-67.43;-34.58
1474.460;-4.49;-67.60;-67.39;-34.57
1474.470;-4.52;-67.57;-67.36;-34.52
1474.480;-4.49;-67.60;-67.38;-34.55
1474.490;-4.50;-67.59;-67.38;-34.62
1474.500;-4.52;-67.57;-67.36;-34.61
1474.510;-4.55;-67.54;-67.33;-34.59
1474.520;-4.48;-67.61;-67.40;-34.64
1474.530;-4.47;-67.62;-67.41;-34.65
1474.540;-4.45;-67.64;-67.42;-34.59
1474.550;-4.41;-67.68;-67.47;-34.63
1474.560;-4.42;-67.67;-67.46;-34.59
1474.570;-4.42;-67.67;-67.46;-34.62
1474.580;-4.41;-67.68;-67.47;-34.63
1474.590;-4.45;-67.64;-67.43;-34.67
1474.600;-4.44;-67.65;-67.44;-34.72
1474.610;-4.42;-67.68;-67.46;-34.78
1474.620;-4.45;-67.64;-67.43;-34.80
1474.630;-4.38;-67.71;-67.50;-34.78
1474.640;-4.34;-67.75;-67.54;-34.79
1474.650;-4.33;-67.76;-67.54;-34.76
1474.660;-4.31;-67.78;-67.56;-34.86
1474.670;-4.34;-67.75;-67.54;-34.80
1474.680;-4.36;-67.72;-67.51;-34.88
1474.690;-4.31;-67.78;-67.57;-34.82
1474.700;-4.34;-67.75;-67.54;-34.91
1474.710;-4.34;-67.75;-67.54;-34.94
1474.720;-4.28;-67.81;-67.60;-34.91
1474.730;-4.29;-67.80;-67.58;-34.91
1474.740;-4.29;-67.80;-67.58;-34.93
1474.750;-4.27;-67.82;-67.61;-34.91
1474.760;-4.27;-67.81;-67.60;-34.90
1474.770;-4.25;-67.83;-67.62;-34.95
1474.780;-4.28;-67.81;-67.60;-34.96
1474.790;-4.30;-67.79;-67.58;-35.00
1474.800;-4.27;-67.81;-67.60;-34.96
1474.810;-4.31;-67.78;-67.56;-34.97
1474.820;-4.30;-67.79;-67.57;-35.10
1474.830;-4.30;-67.78;-67.57;-35.09
1474.840;-4.31;-67.78;-67.57;-35.02
1474.850;-4.30;-67.79;-67.57;-34.97
1474.860;-4.30;-67.79;-67.57;-35.04
1474.870;-4.30;-67.78;-67.57;-35.12
1474.880;-4.34;-67.74;-67.53;-35.14
1474.890;-4.33;-67.75;-67.54;-35.23
1474.900;-4.35;-67.73;-67.52;-35.22
1474.910;-4.37;-67.71;-67.50;-35.17
1474.920;-4.37;-67.71;-67.50;-35.17
1474.930;-4.38;-67.70;-67.49;-35.18
1474.940;-4.37;-67.71;-67.50;-35.24
1474.950;-4.37;-67.71;-67.50;-35.23
1474.960;-4.39;-67.69;-67.48;-35.24
1474.970;-4.39;-67.69;-67.48;-35.22
1474.980;-4.42;-67.67;-67.45;-35.26
1474.990;-4.46;-67.63;-67.41;-35.26
1475.000;-4.45;-67.63;-67.42;-35.23
1475.010;-4.47;-67.61;-67.40;-35.26
1475.020;-4.48;-67.60;-67.38;-35.21
1475.030;-4.45;-67.63;-67.42;-35.30
1475.040;-4.49;-67.59;-67.38;-35.32
1475.050;-4.46;-67.62;-67.40;-35.31
1475.060;-4.44;-67.64;-67.42;-35.43
1475.070;-4.47;-67.61;-67.40;-35.42
1475.080;-4.48;-67.60;-67.39;-35.36
1475.090;-4.47;-67.61;-67.40;-35.44
1475.100;-4.56;-67.52;-67.31;-35.60
1475.110;-4.53;-67.55;-67.33;-35.43
1475.120;-4.53;-67.54;-67.33;-35.49
1475.130;-4.51;-67.56;-67.35;-35.43
1475.140;-4.47;-67.61;-67.40;-35.56
1475.150;-4.47;-67.60;-67.39;-35.56
1475.160;-4.46;-67.62;-67.41;-35.45
1475.170;-4.51;-67.56;-67.35;-35.64
1475.180;-4.50;-67.58;-67.37;-35.51
1475.190;-4.50;-67.57;-67.36;-35.44
1475.200;-4.50;-67.58;-67.37;-35.51
1475.210;-4.50;-67.57;-67.36;-35.59
1475.220;-4.50;-67.58;-67.36;-35.61
1475.230;-4.46;-67.61;-67.40;-35.64
1475.240;-4.48;-67.59;-67.38;-35.71
1475.250;-4.48;-67.60;-67.39;-35.76
1475.260;-4.46;-67.62;-67.41;-35.72
1475.270;-4.44;-67.64;-67.42;-35.81
1475.280;-4.42;-67.66;-67.44;-35.75
1475.290;-4.44;-67.63;-67.42;-35.83
1475.300;-4.46;-67.62;-67.40;-35.94
1475.310;-4.44;-67.63;-67.42;-35.86
1475.320;-4.43;-67.64;-67.43;-35.94
1475.330;-4.41;-67.67;-67.45;-35.96
1475.340;-4.40;-67.67;-67.46;-35.98
1475.350;-4.39;-67.69;-67.48;-35.99
1475.360;-4.35;-67.72;-67.51;-36.03
1475.370;-4.35;-67.72;-67.51;-36.06
1475.380;-4.30;-67.78;-67.56;-36.08
1475.390;-4.33;-67.74;-67.53;-36.10
1475.400;-4.38;-67.70;-67.49;-36.10
1475.410;-4.36;-67.72;-67.51;-36.09
1475.420;-4.36;-67.71;-67.50;-36.12
1475.430;-4.36;-67.72;-67.50;-36.10
1475.440;-4.35;-67.72;-67.51;-36.08
1475.450;-4.35;-67.73;-67.51;-36.12
1475.460;-4.32;-67.76;-67.54;-36.17
1475.470;-4.30;-67.77;-67.56;-36.15
1475.480;-4.29;-67.79;-67.57;-36.16
1475.490;-4.27;-67.81;-67.59;-36.16
1475.500;-4.28;-67.79;-67.58;-36.15
1475.510;-4.30;-67.78;-67.56;-36.09
1475.520;-4.30;-67.78;-67.56;-36.22
1475.530;-4.30;-67.78;-67.56;-36.19
1475.540;-4.30;-67.78;-67.56;-36.24
1475.550;-4.30;-67.77;-67.56;-36.23
1475.560;-4.32;-67.76;-67.55;-36.22
